hư hại	破坏
Rand	兰特
Thời gian này	這個時
vô tư	冷漠
xin vui lòng	请
Dap xe	策騎
Castanopsis	栧
cát	沙
rối loạn	動亂
cẩu thả	慵
Chết trên	卒於
Linh hoạt	靈活
Khuôn viên	校区
Có hình dạng như	形如
nền tảng	基礎
Lời nói đến	來語
Thời tiết	天候
Ding	仃
Cameo	客串
Thân tàu	船身
Adrenaline	上腺素
Bị lừa gạt	被當
Làng Đông	东村
đau đớn	疼痛
Xa lánh	洅
từ điển	辭典
Khác nhau	紛
Khóc	忎
Bên cạnh	身旁
mang	鳃
người rừng	泰山
tắt	関
Ei	鸗
Phích cắm	塞
hung dữ	凶
Tại cuộc họp	會上
về nguyên tắc	原则
đầu tư	投資
Yamamoto	山本
Cacboxylic	羧
Đương nhiệm	現任
Trận bóng đá cúp	盃足球賽
Khu vực vịnh	湾区
Ngược lại	相比之下
Đã từng nói	曾說
Jiujiang	九江
vá	补丁
61	六十一
Cựu sinh viên	校友
chiên	炒
Quy Nhơn	歸仁
cắm trại	露營
Viêm	炎症
Hoàng đế Tần	秦皇
khu vực	地區
sân vận động	體育場
Quỹ đạo	軌域
bảo vệ	守衛
Bướng bỉnh	掇
Mary	瑪麗
anh hùng	英勇
Đạo sĩ	道人
Nhanh	快速
đơn giản	單純
Dòng chữ	题写
Anna	安那
đào mương	溝
Quận Ye	耶区
Đoạn đường	路段
khu vực	區域
Lyle	莱尔
Lywood	莱坞
Giơ lên ​​lơp	級時
Lu Guo	鲁国
Không sử dụng	未使用
Bầu	当选
Giải thưởng	獎禮
di cảo	追贈
Trung học phổ thông	中學
lấy	搭
giảng bài	教学
Âm	錖
Moo	喞
Potsdam	波茨坦
Maki	莳
tượng đài	碑
Biểu tượng	符
Tương ứng	分別為
Tòa nhà giảng dạy	教学楼
nước Đức	德国
Sản xuất điện	发电
không nghi ngờ gì nữa	无疑
Nói	言
thờ cúng	供奉
Ju	鞠
phương tiện	載具
Album	大碟
do đó	因而
Liên minh	联队
Bang Yu	國於
hủy hoại	毀滅
Ye	迳
Venice	威尼斯
Bahia	巴伊亚州
Catello	加泰罗
Trực tuyến	网上
Mơ hồcông việc của nhà nước	歧义朝政
Cá mèo	粇
Tin đồn	据传
thu nhập = earnings	收益
Watchman Nee	倪柝声
Bedo	贝多
Baotou	包头
Liu	銎
khí quyển	臭氧
hố	坑
thông qua	取道
Chân	足類
Được thăng cấp lên	晋升为
hợp tác	协作
chất xơ	纖維
quân đội	軍方
Do đó tên	故名
Sandia	圣地亚
cao quý	高尚
đạt được	获得
Mississippi	密西西比州
Gây quỹ	募捐
tối	黧
Ương ngạnh	反叛
bờ biển	海灘
Sinh hóa	生化
Dewang	德王
hình dạng	狀
Hoặc là	奥尔
con quạ	克劳
tôi e rằng	恐怕
xẻng	鏟
Jian	筧
kiêu ngạo	傲慢
Masonic	共济会
đàn bà	女子
Trường đua ngựa	馬場
Biến dạng	變形
Nói	说道
Đánh	擊時
Trận chiến	之戰
Missouri	密蘇里
sự đông đặc	凝固
Màu xanh da trời	蒼
đứng cho cốc	坫
đảng phái	黨派
từ ngữ	词
Chim ưng	隼
Chen	陈
có dây	有線
niêm phong	印章
Chiều cao công trình	樓高
thù địch	敌对
Lựa chọn	评选
Khách	訪客
Tử vong	之死
Nhiều	洛特
đặc biệt	特别
hộ tống	护送
Yong	埇
Đánh nhau	争斗
armadillo	狳
Bộ Nội vụ	民政部
toàn cầu	环球
Finale	終場
Nói	謂的
bính âm	拼音
tuổi tác	年龄
Duo	哆
ánh sáng	淡
ghét	癉
Quyến rũ	粲
mô hình	機型
Dominic	多明尼
mô hình	型號
Bray	布雷
Yan	顔
Cva	茨瓦
khảm	镶嵌
Đặt hàng	订
Đức phật	佛祖
Quận Gang	岡縣
Quạt	範
Đầu tiên	首次
Trong giai đoạn	相中
Chống lại	对阵
Hai ba	二三
Từ chức	离职
bóng râm	庥
Chấn lưu	砟
Yu	鴜
Diablo	暗黑
lúc đầu	起初
Sự tự tin	置信
Bước tiến vượt bậc	大跃进
Là	儴
Shiina Ringo	椎名林檎
Sau đó nhận ra	則認
Góc tây nam	西南角
điển hình	典型
Người Ailen	爾語
Lên án	谴
Sâu	軚
Cư dân	居民
sinh vật thần thoại	蜮
Lo lắng	惔
Gặp	相約
Xinping	新平
quán cà phê	咖啡馆
Đại học Columbia	哥倫比亞大學
sự tự tin	信心
Trong văn phòng	任内
Tài nguyên nước	水资源
Khởi hành	發車
Mặc du	虽然
Quạt bang	州藩
kiên nhẫn	患者
chồi non	蕾
Hai mươi lăm	第二十五
Ngô	玉米
Xì dầu	豉
Tiết tấu	涍
Ủng hộ	托
Duẩn Qirui	段祺瑞
Bán phá giá	甩
Ăn côn trùng	食虫
Phong	沣
Nhiều mây	叇
Hơn	則較
Han Jun	漢軍
Puri	普里
Euler	欧拉
mù sương	縹
Xem	参见
Cổng phía Nam	南門
Yu	騛
Ersay	爾賽
liên Hiệp Quốc	联合国
mạch lạc	連貫
than phiền	諑
cấp độ	級
lãnh đạo	領袖
cái cổ	脖子
hiện đại hóa	现代化
Nanxiong	南雄
Sura	苏拉
thanh kiếm	鋏
chú thích	注解
Và	們並
Lan	澜
Xuân	瑆
Và	與及
Nhà điều hành	業者
quan tài bên ngoài	椁
Hai loại	兩種
thời thơ ấu	幼年
nắm lấy	捉
cuối cung	弰
axit béo	脂肪酸
Đức Giê-hô-va	耶和華
bất kể	無論
Đặc biệt	特指
Thuộc về	隶属于
Tên	名
Bài báo buổi sáng	早報
Hồ Po	鄱
Liều lĩnh	莽
Wa	娳
Đây	茲
Li	馃
tiếng Đức	德文
đài hoa	萼
Anthony	安东尼
Quyền lực	權勢
Nó đang ở trong	其於
chũm chọe	钹
đống đổ nát	残骸
Hội đồng An ninh	安理会
Tài liệu tham khảo	参照
Bắt chước	仿照
Tốt nghiệp	學畢業
sự cứu rỗi	救世
hào	护城河
Shakespeare	莎士比亚
đạo đức	伦理
Mae	湄
Khoảng thời gian	时段
nhiều màu	繢
stronti	鍶
đường hầm	坑道
Lờ mờ	棜
tiền tệ	货币
tương ứng	分别
Hukou	湖口
Joseph	約瑟
Cửa hàng	門市
Trưởng sư	大师
neodymium	釹
Đĩa	板块
Nói	賽德
diễn viên diễn viên	表演者
Reeve	里夫
dân gian	民间
Quận Dapu	大埔區
Bộ ngoại giao	外交部
Georg	格奥尔
thuyền	舺
thường xuyên	經常
Vòm miệng	腭
cái đầu	头部
Đá	矶
Trở về	歸
Ba chiều	三维
Dài	久
Nhúng	霑
giữa Lo	中低
Dur	杜尔
Đặt hàng	個階
Cái này cũng vậy	這個過
Covet	觎
Những điều cần thiết	要件
đến	抵達
thiết lập	设立
Chọn	揀
Bản địa hóa	本地化
Tây An	耥
Sử dụng đất đai	用地
Người đi đầu tiên	先發
gạch	磚
Cà vạt	餫
Miễn	豁免
kẻ nghiện rượu	酲
đá vôi	石灰石
Corsi	科西
Hình trụ	柱形
xin lỗi	道歉
Thời gian dài	長時
Xe cơ giới	机动车
Sự đối lập	對論
Bonito	鱣
Chuyển hướng nước	分水
cá	鱼
Varey	瓦雷
Phải lòng	爱上
nữ hoàng	御用
Xiêm	暹羅
Theo dõi	曲目
Lòng tin	信任
Bài gốc	原任
Crimea	克里米亚
khách	宾客
Ô cửa	门口
kéo ra	薅
xây dựng	興建
cũng	甚至
Để ý	預告
vu khống	诽
Thời lượng	历时
Già hơn	桤
bằng lòng	恹
cái đó	那
Đạt được	获取
Tang	衂
xúc phạm	罪行
Nhà nguyên	元朝
nhãn	标签
Nheo mắt	磝
Ster	史特
oát	瓦特
Đã rửa tội	受洗
sân quần vợt	网球场
Tách ra	支队
Mang vào	带入
giọng	口音
Lừa đảo	螯
Năm ngoái	上屆
Astoria	道夫
Vilnius	维尔纽斯
Đi vào	行在
tiết kiệm	挽救
nghỉ ngơi	休憩
Thống nhất	團結
con cú	鵂
Đáng mơ ước	如意
Vào dịp	之际
tình cờ gặp	跲
Đánh máy	擊機
Danh sách	榜單
đổ nát	偾
Phía sau	後面
sử dụng	运用
trang mạng	網站
Gu	蛦
tiếng nước bắn tung tóe	泙
Lực lượng tăng cường	援军
Quinoa	蔾
đồng tiền	硬币
Zhuan	颛
Đối với	至于
Erba	爾巴
sân vận động	体育场
Kazan	喀山
trại	營
trôi dạt	漂流
Maoming	茂名
chặt chẽ	緊
Xiaoqing	小青
Phong tục	海關
钭	鈄
Đặc biệt	特种
kiêu căng	奡
đẹp đẽ	妵
Hoa sen	菕
đình chiến	停战
Bất hợp pháp	违法
Quốc gia	诸国
Nuôi dưỡng	教养
Burgos	布尔戈斯
Màu xám	黲
thư pháp	书法
Người Bồ Đào Nha	葡
chim ưng	鷹
Đánh chặn	攔截
Li	佪
niết bàn	涅
Người hâm mộ	歌迷
nổi loạn	谋反
sáng kiến	主動
Không chính thức	非官守
Tốc độ	航速
Cổ hủ	老道
Thái Bình Dương	太平洋
kiệt sức	枯竭
Xu	许
Maanshan	馬鞍山
xây dựng	建築物
Suri	苏里
Hoff	霍夫
đang chờ đợi	等候
Con thỏ	兔子
vận chuyển	运送
Thân hình	軀
Đơn chất	灸
kéo	扯
Làm mới	清新
Người chiến thắng	获得者
Nước chảy	流水
Yue	岳
cháu gái	孙女
ngu độn	密
Nước Anh	不列颠
Âm	桱
ngược lại	相反
xe tắc xi	計程車
Yunda	雲達
thẩm quyền	權威
Manha	曼哈
hoảng loạn	恐慌
Đồ đá mới	新石器
Epromium	镸
Ống nước	水管
Zoro	祅
Jeff	杰斐
Guinness	吉尼斯
gọi	呼
đại sảnh	霍爾
Liu	骝
giảm	減低
Tổng đội	隊將
Hàn Quốc	大韓民
Mast	桅杆
Dòng dõi	血統
điện	电气
Man rợ	夷
thay đổi	變革
Thông minh	優異
Yên tĩnh	蚇
Bản in lớn	大字
Khuôn viên	校區
Nhưng tại	但於
Thiên nhiên	性質
họp lại	聚會
Sản xuất điện	發電
không ngừng	不休
Loggerhead	蠵
Nguy hiểm	險記
Machimura	町村
tiếng nói	语音
Sơn	塗
Cho vợ	为妻
thư	郵件
Của	的則
cà vạt	綁
làm hại	害
tại thời điểm này	這一點
trợ cấp	津貼
Vô cùng	為極
Tahe	塔河
đồng tiền	錢幣
Nâng cấp	升格
Nhân mã	人马
Nổi bật	出眾
Đấu vật	角力
ngẫu nhiên	隨機
Tái tổ chức	整编
Yi	羴
Bắt cóc	枴
Hui	回族
nhầm lẫn	舛
Ủy ban Trung ương	中央委员
Wan	阕
Sóng thần	海嘯
ngôi đền	神殿
ngăn kéo	屜
Sự khiêu khích	衅
Mua trong	購入
Lỗi	澙
Đối với phương đông	為東
tạo nên	創建
Khu Liên Xô	苏区
và	而且
Nam giới	男性
sự chiếu sáng	光照
săn bắn	獠
Tán thành	获准
rau diếp	萵
thế giới	人間
phấn hoa	花粉
Nghịch ngợm	匭
bản nháp	草稿
sơ cấp	初级
Người môi giới	经纪
Người mới	新人
Đan mạch	丹麦
Độ ồn	響力
Rang	焙
Tamarisk	檉
Bảo vệ	护
đọc	阅
giảm xuống	駁回
Đi	围棋
bò	匍
kích thích	激励
Li	泇
cái hộp	匣
Âm	龖
ý định	用意
Beilu	北麓
ly hôn	离婚
CPSU	苏共
Thành viên của Quốc hội	议员
Giả thuyết	假设
kém cỏi	劣
thiên đường	樂園
Luôn luôn	始終
Haisheng	海生
xà bông	皂
độc quyền	独家
Phượng Hoàng	鉼
Chu Yu	楚瑜
ủng hộ	赡
Nhiều	重重
Yên tĩnh	蜊
Sâu	蝛
Tỉnh Hắc Long Giang	黑龙江省
Đôi pho vơi	對付
con bò cạp	艛
Tianchi	天池
Hime	姫
Thị trường	墟
Hatta	畑
Latour	拉圖
Không khí	爱尔
thorium	釷
vượt qua	扠
Và lấy	並獲
đổi	汇
Cấp trên	上级
Từ Hi	慈溪
Đông cứng	凍
tù nhân	俘虏
Jordan	乔丹
Pu	檏
Yu Shi	于世
Dagang	大港
um tùm	薿
Offroad	越野
con dơi	蝠
Đối đầu	對峙
vận động	征战
So sánh	比照
Thông báo	公佈
thí dụ	例
Manchester	曼徹斯特
Shao	魬
Trường Xuân	長春
môi	脣
Giám đốc	局长
Thánh thần	聖靈
Romania	罗马尼亚
Thiếu tôn trọng	不敬
Rêu	蘚
mở	开阔
Shinjuku	新宿
Tây An	奊
và sau đó	進而
Sẽ bắt đầu từ	會從
Tiền vệ	外野手
Chuyển đổi	轉型
đại dương	远洋
Tổng cục Chính trị	总政治部
Con nai	獇
ma thuật	魔力
Qufu	曲阜
So sánh	比較
Iliac	竂
tỉ lệ	規模
giỏ đựng đũa mảnh mai	籯
Điệp khúc	合唱
hủy bỏ	取消
Nghĩa trang	墓園
Wen Zhong	文忠
điều răn	诫
bực bội	怒
Xunzi	荀子
Không có	一個無
di chuyển	舉動
Đẹp	帥
Torre	托雷
Bang	嚘
Khu vực địa phương	當區
Hậu cung	後宮
Tin tức	资讯
Tro	特罗
thực tế	實
Tư nhân hóa	私有化
sức sống	生命力
Yan	闫
Hoàng đế Wu	武天皇
Emissary	密使
Lồn	屄
đường	馬路
Nơi quan trọng	要地
Không chung thủy	变格
tham dự các chức năng chính thức	浰
xe tăng	罐
sẽ	将
Ngừng	停辦
Sam	萨姆
Mackin	麦金
Ju	榚
Kết nối	衔接
nguyên nhân	事业
Nông nghiệp	农
sao chép	複製
Satoshi	聪
Tịnh độ	淨土
canxi	鈣
Áp dụng cho	投考
Lan tràn	流傳
Oviparous	卵胎生
Dịch chuyển	位移
Latin	拉丁文
Kui	逵
nguyên tội	原罪
Thực hiện một chuyến đi	成行
Theo mùa	季节性
Hợp tác	為配合
Milan	米蘭
Cánh tay	萂
Thời cổ đại	古時
Hiến pháp của Trung Hoa Dân Quốc	中華民國憲法
Inkstone	硯
Súp	湯
Shu	蕑
Ghim	蒾
Công chức	文官
hành hung	突击
Yas	亞斯
Pullen	普伦
chứng chỉ	證書
Tát	捔
Hoàng	癀
Dongjiang	东江
Xu	晥
Anna	安娜
Tham khảo	指稱
áp phích	海報
đời sống	寿
đã đăng ký	注册
Tên mã	代号
tranh tường	壁畫
thất vọng	怃
Giữ	擁
Ghế nữ	女座
Boolean	布爾
Tp.	市市
Senborg	森堡
Hình ảnh	成像
ấn tượng	印象
Phía sau	身后
Yan	焔
Chuẩn bị	预科
Hố đá	石坑
Ngai vàng	王位
người phục vụ	伺服器
bay	飛
Ở đâu	该处
Nancy	南锡
người tị nạn	難民
quê hương	祖國
kiểm tra	试
Kích thước	維度
đấu	獨奏
lợi ích	好處
giới tính	性别
Ghen tuông	嫉妒
bùn lầy	渾
Thắng lâu	龍運
Từ	起於
Tờ rơi	小叶
xúc phạm	侮辱
Wu	鬂
quét	掃描
Chống chiến tranh	反戰
Là	逶
con sông	江
quỹ đạo	彈道
không thay đổi	常数
Roi da	抡
Vui mừng	懽
Hou	堩
không dây	无线
Nga Mi	峨眉
Thân tàu	赫尔
vào thứ bảy	週六
thánh	圣徒
Đảng Lao động	劳动党
Soái hạm	旗艦
mili giây	毫秒
sẵn lòng	愿
kịch bản	腳本
Bài thơ	詩集
lily pad	蕸
Liên quan	牵连
Phát triển ngành	業發展
Thành phố Qiqihar	齐齐哈尔市
Đóng cửa	封閉
Geng	賡
Thủy quân lục chiến	海軍陸戰隊
Nuốt	櫡
Tanigawa	谷川
Bao vây	厎
kỷ luật	紀律
Diễn viên lồng tiếng	配音員
tử cung	子宮
Qi	慼
miền núi	多山
Sam	鐒
Như một tài liệu tham khảo	為參
Xuanwu	宣武
Chen	琛
Yi	濽
Vô thần	无神
Đó là nó	而已
đánh	撞
Hoàng Thái Cực	皇太
Tin	锊
chết trong nhà tù	瘐
Điện khí hóa	电气化
Hãy cẩn thận	慎
Phê duyệt	审批
thử	尝试
Ao	敖
đổi	換取
Cá vây	鰭魚
Sâu	蚮
gậy	桿
Đường Ham	咸道
Tao	韜
Làm hết sức mình đi	尽力
Wei	潍
Âm	臒
Lithuania	立陶宛
bữa ăn	餐
Cái gọi là	所謂的
đấu sĩ	战斗机
Tính di động	動性
Lòng khoan dung	包容
kết án	句
Tĩnh	静态
cửa biển	海门
Rồng	龍類
Chuyển đổi	转型
Ling	仫
Mike	麥克
Người khởi xướng	始人
điều này	這件
Chìm vào	沉入
Không được	不被
Huren	胡人
Biển nhật bản	日本海
Juan	胡安
giải phẫu học	解剖学
Shide	士德
Fu	阜
Giu-đa	犹大
Kolo	科洛
Kỹ thuật	朮
Cục quản lý	行政局
cào cào	蝗
truyền tải	傳動
Dung nham	拉瓦
Bobo	波波
Lá rộng	阔叶
đổi	互换
Không bao giờ	從未
Damascus	大马士革
Hông	臀
quá	太
Đặt thành	設為
Bọ cánh cứng	蠹
Abel	亞伯
Đấu cúp	盃賽
khuyến khích	促
loạt	系列
khảo sát	勘
hủy hoại	毀
Fu	饦
Ngã tư	交叉口
thăng trầm	熱潮
Co giật	玙
Li	俫
đông lại	沍
Cung điện Hoàng gia	皇宮
Ah	丫
thông suốt	顺利
Kai	鴗
Chi nhánh	科
Môn học	學科
Hủy diệt	殲滅
Cuối năm	年底
Chu	涥
kết cấu	構造
Khóa	綹
Aix	艾克斯
ba mươi tám	三十八
Lượt xem	查看
Kaza	卡扎
tàu không gian	飞船
dự trữ	備隊
đèn lồng	镧
gấu nâu	罴
Ban giám khảo	评委
Zang	臧
Nhặt lên	佔
Beni	贝尼
Tưới	溉
Con điếm	娖
Liên hoan phim	影展
cộng đồng	社區
Mau	很快
kháng cáo	上诉
Bedo	貝多
Tong	昽
học hỏi	学
sự liên kết	协会
tiêu đề	封号
Chì	擔綱
Ming	茗
cỏ dại	蓫
ranh mãnh	詭
Sumatra	苏门答腊
Giật	後座力
Nhà thờ thiên chúa giáo	基督教會
Tây An	埥
Thời lượng	为期
Đúng rồi	其對
Kiểu chữ	字样
Nitrile	腈
thúc giục	趲
Đền thờ	該廟
Liên kết	締
Đại học Oxford	牛津大学
ủng hộ	撑
Hư hại	损毁
hệ thống	系
con bò cạp	蓶
Thư giãn	放寬
Đặt hàng	階
Shinkansen	新幹線
Ủy ban Chính trị và Pháp luật	政法委
Hoàng Gia	皇家
dây điện	電線
kẻ thù	敵軍
mua chuộc	贿赂
Quá cao	過高
hành vi xấu xa	副
gỗ	木材
Đài Loan quốc gia	國立臺灣
đảng cầm quyền	執政黨
Mag	玛格
Không có trên đảo	島上無
mười tỷ	冓
Trang web chính thức	官網
Trường học kinh doanh	商学院
Trên mạng	在網
tránh	避
Đặc khu	特区
Navia	纳维亚
Tháp đá	石塔
Giá bán	價約
đứa trẻ	孩
Mỗi trường	各校
Bower	包尔
Phượng Hoàng	釪
dây điện	丝
Nước Lào	寮國
Quân đội quốc gia	国民军
Jue	珃
Yêu cầu giúp đỡ	求援
vẫn	靜止
Ngã	陷落
Tù nhân	犯人
Matsuyama	松山
Li Hong	李鴻
Xu	襃
cơ sở	设施
mặc	戴
Shito	糸
Qiao	皡
Phân phát	散發
Thở dài	呿
đèn neon	氝
ngực	臆
con ngựa	马
Nhân tạo	人為
Đầu tiên	第
Luxi	鲁西
quay lại	回來
Dalai Lama	达赖喇嘛
Về cuộc họp	為會
hội họa và thư pháp	書畫
Môn Địa lý	地理学
Nam bán cầu	南半球
Gọi chung	統稱
Lên kế hoạch	预定
gọi	召喚
Doanh nhân giàu có	富商
Seuss	修斯
ăn năn	悛
Juren	举人
Laro	拉罗
trận chung kết	總決賽
Đóng cọc	垛
Chỉ huy quân đội	軍長
Serbia	塞爾維亞
Đội	該隊
Vui mừng	開心
Lập lịch trình	調度
Lịch sử	史称
Hơn	更为
Cung bao gôm	還包括
Phỏng vấn	採訪
Chôn	伯里
thời hoàng kim	黄金时代
Tainan	臺南
Với quân đội	随军
thang máy	掀
Bầu cử sơ bộ	初選
Muộn	遲遲
Diễn viên	影帝
côn trùng	蟜
Zhongjun	中軍
franc	法郎
chó sói	狼
Moi lên	开挖
Bộ phận và	部與
thư mục	书目
Tới Hồng Kong	來港
Sảnh đợi	游说
Weiss	維斯
Chương trình	方案
Xiang	翔
Vấn đề	當事
xà ngang cho ngựa nghêu ngao	軏
Trở lại	復為
Anh ta	踳
sự thay đổi	迻
nâu	褐
đá lửa	燧
sao chép	抄
Đo đạc	測
Mười nghìn	萬張
Đã chạy	冉
Ngọc bích	棢
Đang	正在
Geben	哥本
Qi	翴
Hiểu	解作
Simo	西莫
Hạm đội	机队
Được phân phối trong	分布於
Asuka	飛鳥
Chì	領先
Giáo dục đại học	高等教育
Thúc giục	加快
Reuters	路透社
Dawei	大為
Tài nguyên thiên nhiên	自然资源
Đầu ngựa	頭馬
liên kết	链接
thủy lợi	灌溉
Tầng lớp lao động	工人阶级
Tok	托克
Trần	祼
quyền phủ quyết	否决
Dịch	译作
Ming Pao	明報
Ảnh đặc biệt	特攝
Tát	蹜
tiền bạc	金錢
lịch sử	历史
kịch	剧
Truy tố	检察
sau đó	当时
Tê giác	犀
Jie	梉
phá vỡ	分解
Thẳng đứng	直升
Cấp trên	上級
tán thành	铆
lãnh đạo	首領
Hương vịSu	風味甦
đối diện	對稱性
Xây dựng	建構
thời tiết	天气
Mẫu	花纹
Đường	餳
gói hàng	包裹
Đột nhập	攻入
Cho điện	為電
Langya	琅琊
là chấp nhận được	還可以
Sống ở	居於
khuyến khích	推動
tinh linh	鬼神
Nông học	農學
Fuer	夫尔
Nữ anh hùng	女主角
khoảng cách	距离
đủ	足够
Tỉnh Aichi	愛知縣
Yan	瑒
Với Lee	與李
Nhọn	鎜
Jing	泾
Can đảm	果敢
Diễn dịch	詮
Quốc gia châu á	亞國
Zhuan	袛
hướng dẫn	感應
Vua của Chu	楚王
Nakamura	中村
Sau quân đội	軍後
phân biệt	区分
thanh lịch	优雅
Tài trợ	融資
Đa giác	多边形
văn phòng	办公室
Đối với phía bắc	為北
Guowei	國維
Hun	馛
Qi	侓
Cột đá	石柱
Qi	錡
bôi đen	黩
Tuấn	疃
Tham gia	收留
chảy	湝
làm	弄
sự thỏa mãn	滿意
Hành động leo núi	爬行動
KMT	國共
thứ chín	第九
Giải thưởng thành tựu	成就奖
Lựu đạn	榴弹
thời gian	颞
Xi	郕
Ngược lại	反比
Tây á	西亞
Wangling	王陵
xói mòn	侵蝕
Jiashi	佳氏
Pháp luật	法系
Đang chờ đợi	以待
triệu tập	召集
Quan sát	视察
Gây rắc rối	闹
Lâu đài cổ	古堡
Ung thư phổi	肺癌
Thanh toán	清盤
mệt mỏi	瘁
Lớp đào tạo	训练班
cười	嗤
Gặp	相遇
Quân Thanh	清軍
Edinburgh	爱丁堡
Hình cầu	球狀
Y	犭
sức mạnh đó	权力
địa hình	地形
Tổng cục	总局
Ziye	济耶
Bên là	側為
Yak	氂
Tình yêu	相思
chính xác	正确
Sau khi ra tù	獄後
mynah	鵒
lông vũ	羽毛
Sẽ	會以
Sân bóng chày	棒球場
Loach	鳅
Poop	舩
di động	移动
Khu tây	西段
Nian	莔
ấu trùng của muỗi	蜎
Trưởng	務長
tiếp tục	持续
xăm hình	黥
Đảng đối lập	在野黨
cảnh sát	警司
Răng nanh	膲
Hru	赫鲁
Hủy kích hoạt	停用
ngũ cốc	粒
Trung Hoa Dân Quốc	中华民国
Hoa Mộc Lan	木兰
Trong và ngoài	出入
Ôm	褅
phụ âm	辅音
Rời rạc	离散
Trung hạn	中旬
Trong thị trấn	鎮內
thang máy	升降機
Nhóm trong	團於
máy bay ném bom	轟炸機
không rõ ràng	惚
Giám đốc	編導
hơn	甯
Như	作為
xi măng	水泥
Độc nhất	獨一無
cái kén	茧
Góa phụ	孀
Benji	本紀
Yulin	榆林
Lagrange	拉格朗日
Nói	口语
Ngành thủy sản	漁業
Rực rỡ	绚
giải phóng	釋
rắc rối	麻煩
Suy nhược	挷
Erz	尔茨
Gujarat	古吉拉特邦
California	加州
Ngày xưa	昔日
Ban phước	祈福
Faraday	法拉第
Beichuan	北川
Gou	茍
mua chuộc	賕
vui vẻ	乐
cơ khí	机械
làm suy yếu	削弱
Môn số học	算術
Cho vợ	為妻
Shek Pik	石壁
Plutonium	隒
cảm hứng	灵感
máy tìm kiếm	搜索引擎
Mờ nhạt	洣
đóng	閉
để làm cho	成
Giả thuyết	假設
Đa dạng	各项
Tăng cường	助推器
Nghiện	沉迷
Loiret	卢瓦雷
Sheren	舍人
Căn cứ	底座
trưởng thành	到期
Đang ở	是於
oxy hóa	氧化
Cm	公分
Sự thanh bình	安乐
què	瘸
Biến đổi	变换
Chữa lành	癒
Ướt	潮濕
chắc chắn xảy ra	必然
Hoa hồng	蔷
Thiên nhiên	性质
Và bên trong	與內
dữ liệu	數據
xúc tác	催化
Vẽ tranh	抷
Bắc Đại Tây Dương	北大西洋
Goku	悟空
chó sói	沃尔夫
Làm giàu	充實
Đường Chatham	漆咸道
Đên trươc tiên	先到
Yu	妌
Tình nguyện viên	志愿
Seth	塞斯
Nghỉ ngơi	休整
Hoàng đế Khang Hy	康熙帝
âm dương	阴阳
đi xe đạp	週期
Thời gian và	時並
thành lập	确立
cuộc khủng hoảng	危機
Sau đó	屆時
Ptolemy	托勒密
Được	上獲
Trình diễn	示威
đặt xuống	平定
Hai mươi tám năm	二十八年
Hàng ngàn	上千
hiện trạng	現狀
Cưới nhau	出嫁
mẫu vật	標本
ngày cuối tuần	周末
Dòng xe	線車
Hoàng đế Xuân	宣帝
bởi vì	因爲
Gái điếm	娫
từ điển	詞典
Hai mươi tám đêm	二十八宿
bằng văn bản	書面
quyền lực	功率
Không thể tiếp cận	不入
Jian	臕
Quân đội Anh	英军
Đê	墩
Bức tượng	造像
Qiaotou	橋頭
Vành	圏
Nhân Viên	职员
làm cứng	硬化
khác	其人
Các bộ phận	零部件
pha trộn	糝
Nhẹ nhàng	些微
Bột gạo	米粉
Cao	為高
xăng	汽油
con hàu	蚝
Rido	里多
Độc thân	張單曲
Beacon	烽
ôi thiu	餿
cổ xưa	古老
Hội đồng chính phủ	政院
Cauchy	柯西
Ohio	俄亥俄州
crom	鉻
Bài báo	條第
Độ C	摄氏
Trên tường	墙上
Cửa khẩu phía Bắc	北门
Nhật ký	日記
dòng chữ	题词
Ngựa thánh	聖馬
Nhân viên văn phòng	干事
Trang thiết bị	器材
không chú ý	跅
Bắt đầu với	始於
đường phía Bắc	北街
Yan	兗
Ye	曩
câm	哑
Ga tàu	驿
Avi	阿维
Arthur	亞瑟
ít hơn	少
Khuếch tán	漫
thỉnh thoảng	偶尔
Hojo	北條氏
Thông thoáng	晰
Sai	為非
Chiến dịch	竞选
Ba Nguyên tắc Nhân dân	三民主義
trứng	鸡蛋
Bài viết	篇
闬	閈
Bộ trưởng Bộ Ngoại giao	政部长
nai	麈
Tên	為名
Biên niên sử	纪年
chim	肫
Âm	鞄
Taizong	太宗
Sumatra	蘇門答臘
Chuyển đổi	转换
con sông	河
tiểu sử	傳記
phân	糞
ngưng	辍
phản ứng	反應
dân thường	平民
Đánh vần	拼写
Liệt kê	上市
Nhà nghỉ	宿
Thời gian kinh doanh	務時
Thành phố trường sa	长沙市
người máy	機器人
Đau lòng	饣
con số	數
hư hại	損害
Yun	蘊
Mặc	佩戴
đào mương	沟
tàu	船只
Trước đây	福爾摩
Oscar	奧斯卡
Sự bành trướng	擴建
Holmes	霍姆斯
Đau khổ	遭人
Chúa tể của chiếc nhẫn	魔戒
Trên	上在
ngoan cường	頑強
kháng cự	抗拒
Vương quốc Anh	英國
Âm	枓
nhận thức	意識
Bỏ sót	省略
con bò cạp	貐
Tuck	踕
ngôi đền	寺庙
Kun	鯤
Yong	鑱
Nhóm con	子群
Nhà sư	高僧
Tiếng kêu bíp	嘀
Yêu và quý	愛
vỏ ngọc	瑔
Gì	啥
Học hỏi	學習
Liên tiếp	先后
Han	瀚
Bài thơ	诗集
Pan	殫
