Lụa	絹
cắt giảm	减少
Người lạ	奇人
lạnh	冷
Yaren	雅人
lộ ra	揭發
Mai	媵
Hóa đơn	比尔
Thời gian	時
A	一輛
sản phẩm	產物
Carbine	卡賓
cà chua	番茄
Lil	利尔
Ngăn cản	攤
Lê	梨
Shashi	沙市
Tiangong	天宮
Cột	纵队
insulin	胰岛素
rỉ sét	鏽
Haifeng	海峰
Havana	哈瓦那
Đêm	晼
Đức phật	佛像
Ôm	耱
Ít	小小
báo cáo	报告
Người vẽ tranh minh họa	插畫家
Sông Danshui	淡水河
Dương	暘
Koji	麴
Thiến	阉
Được	考取
bệnh đậu mùa	天花
người Hy Lạp	希臘文
dấu vết	痕迹
Xin Chou	辛丑
London	倫敦
Luật gia	法学家
Ghế ngồi	議席
Phospholipid	磷脂
Su Zhenchang	蘇貞昌
một ngàn	一千
Sát thủ	杀手
Sự khác biệt	差分
Lười biếng	惰
Trộn	混交
锓	鋟
Anny	安尼
Tôi	亻
ngón tay	手指
Đóng quân	驻扎
Khói	熏
Mộc qua	楂
Năm tiếp theo	翌年
ewe đen	羖
trung tâm	轂
Newt	螾
Chiến lược	方略
Flo	弗洛
Và nói	並說
Thành phố tokyo	東京市
Bộ trưởng	部级
Yongping	永平
Chi	馳
Tây tạng	藏人
Người phương tây	西人
Ngọc bích	桷
tuân theo	服从
khéo léo	整齊
Đảng viên	党籍
Âm	癔
trang	專頁
tính cách	性情
Đếm	數來
Bo Xi	薄熙
Bang	嘭
Đã chọn	入選
cơ bản	根本
Cấu trúc nhà ga	車站構
thô lỗ	傖
Khó xử	狷
tinh thần hy sinh	鬯
Tuyến giáp	狀腺
Và	呾
Bruce	布鲁斯
rửa	洗
Jianye	建业
Thanh	大清
Chuyển sang	转向
Nhà kinh doanh chính	主营
Điều chỉnh	调整
Gia trưởng	祖師
Cặp cạnh tranh	競爭對
Sân bay	空港
Cá hồi	鳟
bẩy	阱
Trước pháo đài	堡前
Dài	迌
Có màng	蹼
Sáng tạo	创意
Người mang	承载
Trùng Khánh	重慶
Tiếng Mã Lai	馬來
Điện lực	电能
chặt chẽ	嚴密
Cảng Tolo	吐露港
cáng	格尼
Vui lên	誷
Li	澧
Lãnh thổ	域性
Lên kế hoạch	計劃於
Đi lang thang	罗夫
Jintao	錦濤
trực giác	直觉
Phi tuyến tính	非线性
nhẫn giảCơm	忍者萊斯
Cái cày	普洛
Số lượng	紅雀
Phương pháp giảng dạy	教法
trong thực tế	其實
nhóm	集团
số nhiều	复数
cộng sự	伙伴
đọc hiểu	读书
trái cây	果實
Theo dõi bởi	其後於
Dài	龍
Jiangbei	江北
ytterbium	镱
Nghiên cứu sinh viên	生學
giấy phép	许可
Nói dối	利埃
Càng nhiều càng tốt	尽可能
Gọi	喚
Chết yểu	早逝
người sống sót	幸存者
Lỗ rốn	脐
Ren	仞
Cây cầu	该桥
Sau khi thành phố	城後
Husay	侯赛
Sự kiện cổ xưa	古事記
Pháp luân công	輪功
Làm trầm trọng thêm	加重
Cymbal	蒹
Nắm bắt	奪取
Điều đáng tiếc	憫
Người hầu	侍郎
Hu	斆
Ga cuối	總站
Ulva	蓴
giải tích	微积分
Mini	迷你
Mới	新任
Camera quan sát	央视
Tàu hơi nước	轮船
tuân theo	堅持
magiê	鎂
Sil	西尔
bài hát	曲
Ling	潣
Galicia	加利西亚
Ôm	眜
khỏa thân	裸体
Năng suất	益格
Tokugawa	德川
Tsuna	綱鰻
Quê quán	本籍
Đi ra	面世
mặt trăng	月亮
soi sáng	照亮
Như	身為
Tục tĩu	亵
Tổng hợp hữu cơ	有机合成
đỉnh	顶点
Quận ở	區於
Rất mạnh	很強
Làm xong	做過
Leslie Cheung	張國榮
âm thanh	音
Chia ra	分在
Gle	格萊
Bật	开启
Quảng trường	正方形
Li	栐
bảo vệ	守護
nhà vua	為王
Shangri-La	香格里拉
Paul	保祿
Màu xanh da trời	布魯
giảm	降低
Waka	和歌
tị nạn cho người già	庠
Baltimore	巴尔的摩
Âm	崟
Sau khi độc lập	獨立後
Người ta nói	人說
Đàm phán	交涉
Trong sân	院内
hơi nước	烝
còn lại	遺跡
thái giám	宦官
Yan	橉
Đóng	闔
Cư dân	住户
mụn nhọt	疙
Quái vật	怪兽
Mai táng	安葬
Zhang Jun	張俊
Ringo	林檎
Độc quyền	專屬
Thời gian Jie	時捷
nhìn trộm	闚
Khối	區塊
Xuân	焑
Giải đấu	巡回赛
Thông báo	通報
Takano	高野
Biên tập	輯
Ba vương quốc	三国
đôi khi	有時
kỳ nhông	鲵
Đi nước ngoài	出國
Cho là	說是
Dẫn đến	通向
Chu	楚
họa sĩ	艺人
Tru	特鲁
Nơi ở	去向
động từ	動詞
đạo Hồi	回教
Chim	愨
thay đổi	變遷
tổng thể	總體
Được biết như	號稱
Dựa vào	憑著
đấu tranh	掙扎
Đánh bắt cá	釣
không rõ ràng	怳
sự khôn ngoan	智
ngoại lực	外力
nhóm	糰
Nhện vườn	园蛛
Fu	飥
Người bán hàng giỏi nhất	畅销
cây rum	红花
mụn cơm	瘊
Vì thế	所
làng	庄
Hội nghị	國會
Chùm tia	桁
Tàu chiến	戰艦
ném lên	吐
mong manh	饈
mở rộng	拓展
Ăn cắp	赃
Mar	馬爾
nhỏ	小的
đường chân trời	天界
Hu	滹
Dòng chảy	湧入
chai	缾
Nhỏ hơn	越小
lợi thế	优点
bằng cấp	資格
Kinh tế học	濟學
Trong ngày	日内
nạn nhân hy sinh	餼
Chào	欶
Hồi hương	遣返
Fei	淝
Học	求學
Con nuôi	养子
đấu thầu	殀
sự phối hợp	协调
Dendrobium	閛
trục	樞
khuôn	霉
bất động sản	財物
Tốc độ thay đổi	變速
Cymbal	璹
cầu lông	羽毛球
Đưa cho	予
dấu	标
ăn mừng	慶祝
Thành phố đông quan	东莞市
bị ràng buộc trong một giải đấu	绻
Âm thanh gốc	原声
Las	拉斯
mẫu vật	樣本
Không thể	不可以
Lỗ rò	瘘
mơ	夢想
Phá vỡ	掻
Những năm bảy mươi	七十年代
sinh con	分娩
nổi bật	突出
Sikkim	锡金
Địa chất học	地质
Chất lượng nước	水质
Sting	斯汀
có thể thay đổi	多變
Như sau	如下表
trọng lượng cơ thể	体重
Nắm được tin tức	知情
Được phân loại là	劃為
Niêm phong	璽
Về nhà	回家
Một chín	一九
Trở nên giàu	致富
Cao cấp	高端
Mei Kai	梅開
Tây An	西安
Del	德爾
Đồ chay	素食
uống	饮
Thuật sĩ	巫師
Thong thả	刻意
lấy đi	帶走
Campuchia	柬埔
Dublin	都柏林
Sự thành công	佳績
Heyuan	河源
sâu	深厚
bẻ cong	彎
Lương Châu	涼州
Budapest	布达佩斯
Sabah	沙巴
Sun Wen	孫文
Nam Dakota	南达科他州
Ven sông	河畔
Với Trung Quốc	與中國
ga tàu điện ngầm	地铁站
Sự hy sinh	祭
kế hoạch	策划
Biển Đen	黑海
Tốc biến	閃記
Cũng sẽ	亦會
Hiểu rồi	了這
yêu thích	喜愛
Cái rổ	篓
Dưỡng bệnh	療養
bao quy đầu	包皮
trường học	流派
Xây dựng	樓設
Nữ hoàng nước anh	英女皇
Lên đến	達對
hồi phục	复原
Kỳ hạn	项式
Dông	雷暴
tai họa	瘟疫
Chuyển động	樂章
bay	鏝
cung điện	英殿
Góc trên	上角
Mm	公釐
Zhu	朱
Người Duy Ngô Nhĩ	维吾尔
khoai tây	馬鈴薯
Nộp thuế	纳税
Phân họ rồng	龍亞科
Bộ sưu tập	馆藏
không bao giờ	從來沒
Thần thành phố	城隍
Chongming	崇明
Gọi ra	吁
Diên An	延安
Vấn đề	其事
Thành phố Nagoya	名古屋市
Luận điểm	權主義
Tần	鑓
Buổi tiệc	晚会
Những người lính	將士
Đã học	得悉
Chen's	陳氏
người phát triển	發展商
Chung	共通
kiềm chế	錮
Yangcheng	阳城
cứng	硬
Ruồi Tây Ban Nha	蟊
hình thức	形式
Bay tới	飞往
gỗ	木
Vắt kiệt	挄
Đề cập	提起
bảo vệ	守护
Xuất hiện	顯得
Âm lượng	運量
Nico	尼古
Quạt	藩
từ tính	磁性
Nhà Thương	商朝
Ghế ngồi	议席
thay đổi	改变
Chu	蜾
không gian	空地
Chirac	希拉克
Enlai	恩来
Chanh	檸檬
Bắc Mỹ	北美
rừng	森林
Algeria	阿尔及利亚
bông	棉
Ngoài	而出
Cướp biển	盜
Nhân Viên	参谋
chớp	栓
Poplite	腘
Quán tính	动量
xóa bỏ	删
Zheng	筝
Dell	戴爾
Số fax	法克斯
đời sống	夀
năng suất	屈服
Châu Á	亞洲
Ở giữa	中產
mệt mỏi	駘
Ye	闃
Lu	鸒
Sự thụ tinh	受精
Rình rập	艅
phần tiếp theo	續集
Tỉnh Nagano	長野縣
chiến binh	战士
người nhận	接收器
Sáng tác	作曲
Chức vụ	阵地
Treo	劊
Hu	湻
Thời Đông Hán	東漢
Aru	阿鲁
Bản tin	公报
Bãi đậu xe	車場
Mạng lưới đường bộ	路网
Chỉ	匯演
tiếng rít	吱
Tiếp xúc	来往
Tây An	慂
Mở rộng	扩展
phẫu thuật	手术
Trung niên	中年
Yi	逸
Tàn phá	宭
Yichang	宜昌
Mongoose	鍴
Sách Đường mới	新唐书
Shift	移位
phương châm	标语
Tái tổ chức	整編
Boda	伯达
Mua lại	收购
bạo loạn	骚乱
Nên	應
làn da	皮
Sự hỗn loạn	熵
phân	粪
Shao	諪
thư	邮件
Trạng thái gốc	根州
kích thước	尺寸
quan tâm	興趣
vị thành niên	少年
hồ nước	湖
Mang lên	培養
Khu vực thành thị	城区
Đau khổ	飽受
Tai nạn	事故
St	斯德
Họ	百家姓
Lang băm	戫
Nữ hoàng lớn	大後
Con rắn	鳛
Dòng sông trắng	白河
quyền lực	动力
tiếp tục	發揚
Tin tặc	駭客
chiếm đóng	佔領
sử dụng	運用
Được soạn bởi	編制
vào thứ bảy	周六
Trung gian	中级
Dựa vào	憑藉
báo trước	警告
học nghề	學徒
Cuối cùng	最後
ban nhạc	樂隊
Ba mươi tư	三十四
Keichang	慶長
Quyết định	下定
Bị bỏ rơi	廢棄
Dám nghĩ dám làm	进取
lý luận	盭
Phát âm câu	宣判
Có tính axit	酸性
điền trang	地產
tiết kiệm	保存
Mở rộng	擴
Giữ	挽留
xấu xí	陋
đế chế Ottoman	奥斯曼帝国
ở giữa	當中
Từ	源自
mù	盲
Nói	的說
Không đồng ý	不合
Hình trụ	缸
Chi nhánh	分社
Cuối cùng	楦
Thử vai	試鏡
Zhu	趉
sông Mississippi	密西西比河
Sớm	早期
Chung	大将军
cuốn tiểu thuyết	长篇小说
tốt lành	吉利
cùng với nhau	一起
Hoàng đế	法皇
chư hầu	附庸
Quần đảo Yana	亞納群島
Ví dụ	例如
Đàn ông	嫚
Gado	加多
Burke	伯克
kim loại	錀
Phun	噐
công cộng	公眾
Đột quỵ	中風
Sené	塞內
tiệc	觞
Yi	屹
danh tính	身分
chinh phục	征服
Mùa	球季
Trà	荼
Sự phẫn nộ	愤怒
thủ đô	都城
Những bông hoa	花朵
Có	育有
Bức tượng đồng	铜像
Stoke	斯托克
Xingchi	星馳
đỉnh cao	頂峰
khởi đầu	启
sự sụp đổ	崩潰
Renault	雷諾
Gò	坶
Ava	阿瓦
Thị trường đầu	头市
cà phê	咖
nghiêm trang	惓
hoa sen	莲花
Thủ thuật	花样
Kinh độ đông	東經
trưởng khoa	迪安
Xấu hổ	鋗
Nick	暱
xấu xí	媸
Tân Cương	新疆
mua chuộc	賄賂
vì thế	因此
đấu thầu	夭
chi nhánh	分会
Arsine	胂
Bosnia	波斯尼亚
Michele	密歇
Lauren	勞倫
gửi	派遣
Thương tiếc	哀悼
phi	撺
Dehydrogenase	脱氢酶
Giải thưởng cuộc thi	獎賽
Suy ngẫm	反思
Miami	邁阿密
cánh tay	军火
Thai kỳ	姙
bốn mươi	四十
Tổng lãnh sự	总领事
Chủ nghĩa dân tộc	民族主義
căn bệnh ngoài da	癞
Đa dạng	變化
Độc thân	单一
Quê nhà	家镇
thối rữa	衰变
Quay lại	回到
Tiêu thụ	消耗
Bậc thầy	當主
đổi tên thành	改名為
ấm áp	温暖
tạo nên	創造
Một số	某个
Trên đồng ruộng	場內
thiếc	錫
thứ mười chín	第十九
trụ sở chính	总公司
kinh sợ	憚
Indy	印第
ngày	昼
Chiếm lấy	捕捉
chuột	滑鼠
lưỡi	刄
Thành viên của bữa tiệc	党员
Qamdo	昌都
Điểm nổi bật	突顯
Suiyuan	绥远
Quảng cáo truyền hình	電視廣告
sống động như thật	逼真
hỏa tiễn	導彈
Cướp bóc	劫掠
phân phối	分布
giải thưởng Nobel	诺贝尔奖
Chuyển sang	轉向
Thảo luận cấp huyện	區議
Ria	里亞
Phiền muộn	凹陷
Hai cái đầu tiên	前兩
giải thưởng lớn	大獎
rung chuyển	抖
Cao	髙
Sững sờ	拀
Ngoan đạo	虔
Quen thuộc với	熟悉
tay áo choàng	袂
miền Nam	南部
Tên tuổi lớn	大牌
Du lịch	旅遊業
Thành phố phẳng	平市
thị trấn	镇
Đường	醣
Đa phương thức	联运
phòng thủ	防务
Mar	马尔
Hiện tại	呈现
sợi	紗
Sáng	明亮
Ethiopia	埃塞俄
cây sồi	櫟
khu	地帶
Trong thành phố	城里
Đất sét	克莱
Tâm thần học	精神科
người máy	机器人
bảo vệ	衛
Thành phố sinh đôi	雙城
Mực ống	鱿
Palla	柏拉
lụa dày không thấm nước	缣
Không tệ	不錯
Đi qua	橫貫
binh biến	兵变
lá thư	信
ổn định	稳固
Bắc Âu	北欧
nhảy	躍
Lớp khí	氣層
đếm	计数
Gia Cát	诸葛
đám đông lớn	侁
Kẻ bắn tỉa	狙击
nhân viên	人事
đi vào	輸入
hạn chế	约束
Ga xe lửa phía Tây	西站
Tes	特氏
Yi	弅
Cá mèo	鮎
Đồn cảnh sát	警署
Cùng với	亦以
Đặc trưng	特色
Fetter	镣
Song Zhenzong	宋真宗
Yu	聟
Truyền hình Fuji	富士電視台
Hạt Xi	溪县
Scott	斯科特
ngoại ô	郊區
Hoàn thành	達到
Tên chung	联名
Vàng	金子
đặc biệt	特意
hằng ngày	日報
gia đình hoàng gia	王族
Phi hành đoàn	機員
Kỳ quặc	奧德
Messi	梅西
Nói dối	諰
mặt trời	荪
Bắc Chu	北周
Nhìn qua	覜
Sau sân khấu	台後
Que	阙
Carlos	卡洛斯
Dennis	丹尼斯
Ngành điện ảnh	影業
kê đen	秬
hỏi	詢問
Thành phố Chu Hải	珠海市
chạm tới	河段
Lun	綸
Và học hỏi	與學
hình đại diện	头像
Quận thành phố Cửu Long	九龍城區
Hee	熙
Zhuo	趿
Công	鞏
Nam giới	雄的
Thời gian từ	時從
Epi	埃皮
cá voi	鲸
Nổ tung	炸毀
Liên kết	聯會
Chức năng	职能
Tung và quay	輾轉
Chảo	鑊
Nổi danh	名家
lực lượng lao động	勞動力
người hầu	傒
Danh tính	身份
sự phân chia	师
sạc điện	冲锋
Dư luận	眾議
Huấn luyện viên	教練機
Như là	此類
Dương	楊
một số	幾個
Hoạt động	劢
Lập kế hoạch tổng thể	统筹
bồn tắm	浴
có	有著
thuần hóa	驯
tập thể dục	锻炼
Tang	椢
Cá hồi	鮭
Ge	戈
cấu tạo	构成
Vì sự thống nhất	為統
Gushan	孤山
Chính trị	政
Ting	婷
Kết thúc	越過
Con số	番号
Sâu	蚖
Protactinium	蕤
văn phòng	辦公室
Tê liệt	瘫
cấp	發行
lạnh	冷淡
trang viên	庄园
xưởng	车间
Miệng rộng	大口
con bò cạp	螶
Thời gian chạy	行時
Tinh tế	傜
Sóng âm thanh	音波
Zi Li	子力
Lun	倫
Gibb	吉布
Khai mạc	開幕
Đường dây bên ngoài	外線
khảo sát	勘测
Thông báo	通报
Dawei	大为
Regon	勒岡州
Theo	随之
Thành phố Đài Nam	臺南市
Newton	牛顿
Hải sản	海鮮
Thiên thần	天使
Sẽ ra	會出
Đề cập đến	指代
Sự công bình	義為
nhà hát Opera	術館
Trận đấu	賽
Đền bù	償
Vượt qua	為傳
ở đằng trước	前鋒
Đường sắt	铁路线
Đơn giản	樸
Xua tan	袪
Dư thừa	多余
Chị dâu	婔
Sakai	堺
Ba mươi	第三十
bỏ qua	辭退
Nghiệp	業為
Chòm sao cá	鱼座
Rime	凇
Sự tôn trọng	敬重
kính hiển vi	显微镜
Tôi	一世
kẻ móc túi	掱
Macaque	猕猴
Tần	芀
bass	低音
Biến đổi	变量
bươm bướm	蝴
Sahara	撒哈拉
Đăng ký	簽約
gì	咦
Thông qua	維亞
Kinh phí	经费
Ghi lại	实录
xưởng	作坊
tấn công	攻打
Bang	倓
Kết cấu	构
Đằng sau hậu trường	幕後
kích thước	維
phi tiêu	镳
giống	類似
căng ra	伸
Chìa khóa	键
Mở cổng	開埠
đơn giản	簡單
Hexi	河西
Plantar	蹠
Nói	曰
cao	嶒
Âm	鱇
Lên và	上與
Tổ tiên	祖宗
Nheo mắt	睩
Phân họ	亞科
Nhận thức	感知
cái thước	尺
Nets	涅茨
Một đất nước	一個國
Champions League	歐冠
Bầu trời đêm	夜空
điều chỉnh	萸
Con dấu vàng	金印
thông gió	通风
Gossa	戈萨
Playoff	附加賽
Giá ba chân	腳架
chân trươc	前肢
Con trai của nó	其子
Qian	芊
Thorium	蒍
giàu có	富裕
Frankfurt	法兰克福
Họ	们
Bạn có thể	則可
quân đội	軍
Cổng phía đông	东门
Nhưng khi	但當
lót	衬
Quân đông bắc	东北军
Lựu đạn	榴彈
Tải	載
quan tài	棺
Trong khuôn viên trường	校内
kiến trúc sư	建築師
coban	钴
So	對比
lặn	潛水
Ao	翺
hoặc là	或者
Mọi người	时人
phim ảnh	薄膜
hạn hán	干旱
Phát triển như	長為
Lượng calo	热量
Con gián	蠺
Canon	佳能
Quay lại	後由
Nói dối	坾
bóng bẩy	瀡
đầy	滿
cắt mũi	劓
Bà ấy	晭
Đã kết thúc	完工
chính xác	精确
Nurha	努尔哈
Yu	霬
Marguerite	玛格丽
rất nhiều	很多
Parkin	帕金
Thủy văn	水文
tên nick	暱稱
Đan Đông	丹东
Pal	帕尔
baht	銖
ăn mòn	腐蚀
ngoan cố	婼
xe máy	摩托车
Dora	哆啦
鲠	鯁
Thượng hạng	套房
vỏ trái đất	炗
mệt mỏi	骀
ổn định	櫪
Vladimir	弗拉基米尔
Định Châu	定州
giống	喜歡
Một hớp	圕
Tỉnh	知縣
ao	溏
gầy	薄
Đầu nguồn	流域
Kéo ra	拉脱
Người Duy Ngô Nhĩ	维吾尔族
Nước sông	河水
Lập kế hoạch	規畫
phần lớn	最
Tái cấu trúc	改制
Lin	蕂
Hoàng tử	诸侯
Kéo dài	横跨
Chia	划分
vẽ tranh	绘制
Máy trục	克兰
địa chất học	地质学
Đừng	不要
sở hữu	擁有的
Se chọn	會選
Lanyu	蘭嶼
màu sắc	彩
Trường Xuân	长春
đường kính	直径
dựa theo	依
Mi	彌
Tự học	自修
Thân cây	幹線
Hoa đào	桃花
Vui lên	謋
Alice	翘
Giữ	召開
Xe ô tô	该车
Làm lơ	忽视
Thế kỷ XX	二十世纪
đặc biệt	特製
bí mật	机密
Hai	兩張
Ngứa	瘙
Nắm bắt	掕
không còn nữa	不再
Nhịp tim	心跳
cột	栏
Bài thơ	诗作
Guadi	瓜地
Kuma	鈚
Uzi	乌兹
Xuân	瑨
cá tráp	魴
Chân tay	四肢
Kéo	拽
vạch sọc	條紋
thâm thúy	邈
Học viện	书院
mặt nạ	面具
Xấu hổ	覩
Ả Rập	阿拉伯
Ngoài ra	此外還
Quảng Đông, Trung Quốc	中國廣東
Dính vào	死守
Và khi	而當
suy nghĩ	认为
Lên men	發酵
Chờ đợi	等處
nhà thám hiểm	探险家
Giải thưởng	奖项
Hôm nay	盛期
Ghi chú	诺丁
Lu	盧
Sẽ để cho	會讓
Ainu	阿伊努語
Ngày thứ bảy	初七
Tòa án	閣
cỏ dại	葍
vào buổi sáng	早晨
Perth	伯斯
quá trình	过程
riêng	具体
nhà vua	先王
Lấy	取的
Dâng trào	激增
Ska	斯卡
Rễ cỏ	草根
Jin	璙
thành phố Taichung	臺中市
Khó xử	狦
Diễn dịch	解读
Unicom	联通
Ga tàu	站內
cổ điển	经典
Salzburg	萨尔茨堡
Yan	剭
Xi	埅
Và	與阿
Goring	戈林
Hội họp	场馆
Tây á	西亚
Biển vàng	黄海
nhà thiên văn học	天文学家
để lại lời nhắn	留言
đường	途徑
Xưởng phim	電影製作
sửa đổi	修改
khỏe	精细
Tai Fu	太傅
bốn nghìn	四千
Zurich	苏黎世
Bất lợi	劣勢
Tiết kiệm	俭
Lên đường	出征
Đẹp	靚
Kỹ thuật	手法
nén	压缩
đỏ và trắng	紅白
Loại là	種是
Biệt thự	山莊
Mệnh đề	子句
nhọt độc	癰
Sự chuẩn bị	筹建
Than van	潅
Shichong	世充
Kato	加藤
trăm	百
công ty	公司
Mỗi người	每位
ngọn hải đăng	灯塔
Cùng họ	同姓
gập lại	摺
Gọi cho	號召
Sim	希姆
Gai	苎
Ngã tư	交點
Được gán cho	歸於
di chuyển	迁
Chek Lap Kok	赤鱲角
khu kinh doanh	商务区
Niệu đạo	尿道
Bắt cóc	绑架
Nước tiểu	尿液
Xóa sạch	橏
Xuất hiện	出场
Nhanh	倏
Bộ sưu tập	藏品
thuốc uống	藥品
Liu	劉
Bỏ lỡ	缺陣
đáy biển	海床
Tường thuật	叙
Xuống	而下
Tát	撢
phim hài	喜剧
khá	蛮
lừa	招
Quấy rối	騷擾
công việcYuan Yu	工院於
nhọt độc	痈
Tam Hiệp	三峽
đầu mũi tên	镞
Tàn tật	瘈
trêu chọc	逗
Sự bảo tồn	守恆
Vẫn là nước	澶
nổi danh	闻名
Wu Yingdian	武英殿
Chen Guo	陳國
Tyro	蒂罗
Enzyme	酵素
Phát hiện	检测
Tàu	船艦
Dược phẩm	制药
Khởi xướng	發起
Dia	迪亚
Chống	安提
bụng	腹部
Hookup	聯播
Đột nhiên	驟
Trở về	上還
cá nhân	亲自
Trận đấu đầu tiên	首場
Thế vận hội	奧運
Không tốt như	不如
Mẫu giáo	幼稚園
Yu	騆
Cichlid	麗魚
Cấp dưới	下级
Nội dung dòng	線體
Zhuo	卓
Kéo dài	倎
kính thưa	旳
hoang dã	野生
ngưỡng cửa	槛
hỏi	問
Tianshun	天順
bề mặt	表面
Liêu Ninh	遼寧
máy bay	客機
Riêng tư	民营
Nhân dân tệ	人民幣
Sway	澋
xẻng	鍬
thuốc uống	药品
Vùng dòng chảy	内流区
Hoàng đế	黃帝
choáng ngợp	壓倒
Và có thể	並可
Bán	贩
nguyên vật liệu	物料
Ma Ying	馬英
Leah	利亞
loạt	级数
Tây An	齉
đi kèm với	偕同
Foote	富特
Loggerhead	頵
Okayama	岡山
Bất lực	无奈
Si	姒
xe máy	摩托車
Zhen	轸
Sẽ ở	會於
Vòng loại	预选赛
nổ tung	爆破
Wudu	武都
Ngon ngọt	隽
Hở	誒
Phil	菲尔
columbium	钶
Từ có nghĩa	義詞
Dung nham	熔岩
mực nước biển	海平面
công việc	辦事
Tuyến tính	線的
thành lập ở	始建於
Hai bàn là	兩鐵
Lớn	耤
Kip	硖
Háu ăn	餋
Bo mạch chủ	主板
cửa tiệm	店铺
Rudolph	鲁道夫
Triển khai thực hiện	实行
mùi nước tiểu	臊
Họ hàng gần	近親
Quốc gia	之國
khuôn viên	校園
Sâu	薝
Huyền phù	停賽
Dinh thự	宅第
than đá	煤
Một lát sau	稍後
Xấu hổ	鷭
giật mình	愕
Jiangshi	江市
Tường thuật	记述
ngày hai mươi chín	第二十九
Kéo	摳
nhiệt	熱
ho	咳
đường	路
tầng hầm	地下室
Bệnh đa xơ cứng	女士
sau đó	则
Quay đầu	陀螺
Rouran	柔然
yêu cầu	聲稱
gia vị	虀
Tình hình	处境
Li	銊
Bom tấn	大片
Quebec	魁北克
nguyền rủa	诅咒
Thập phân	十进制
Nhà Thương	商代
Sáng	炯
thừa	贅
Xung quanh	四周
Tuyệt chủng	灭绝
Bao vây	厾
đã đăng ký	註冊
Nhân viên	僱員
Rút lui	退居
bỏ rơi	抛弃
thực hành	實踐
Đi qua	穿過
Yong	镩
Na	吶
trước mặt	前面
Giang hồ	流浪者
truyện ngắn	短篇小说
Không hòa tan	不溶
Nobel	諾貝
Tầng hai	二樓
đủ	彀
Bài hát	崧
Mờ nhạt	澐
Xa lánh	順
khai hoang	開墾
Doanh trại	兵营
Chahar	察哈尔
Vsk	夫斯克
sách	書
Cá cược	押
Tòa nhà	主場
sách	圖書
bên	側面
Năm	數年
Shan	顬
Jiang Sheng	江省
Mũi tên	矢
Tiên phong	前衛
phần thưởng	賞
chiến trường	戰場
dựng lên	剚
Hoảng sợ	戹
Mu	沐
Zhaizhen	寨镇
Con vịt	达克
đưa lên	建造
Pháp sư	法師
Roman	羅門
Lombok	龍目
ruy-băng	綬
biện hộ	倡
Rùa	鳫
Phình to	膨
Bán đảo Ma Cao	澳門半島
Loach	鰒
Ziwu	子午
đời sống	性命
trao	胙
chính trị	政治
Rồng	龍屬
Vắt kiệt	搾
Bóng chày	蛄
Của	斯的
Pháp sư	法师
Chúa tể	之主
Tháng sáu	鈞
hôm nay	今日
Quận	個區
kỷ niệm	纪念
khủng bố	恐怖主义
Gu	袙
Âm mưu	地皮
chính xác	确切
Y	郷
bộ phận sinh dục	生殖器
Một mình	一個獨
Yu	牥
gãy xương	断裂
Chơi	奏
Vui mừng	歡
Nhìn	瞻
màn	筛
thương mại	贸易
đấu kiếm	击剑
Đinh ba	三叉
Kỳ dị	乚
cá mập	鯊
Quân đội Đức	德軍
Album phòng thu	錄音室專輯
Turkestan	突厥斯坦
Toàn bộ	共
Dòng đến	來線
Phố tây	西街
Mất đi	丢失
Dừa	椰
Tình hình chung	大局
Pan	箠
Bi	碧
Changan	長安
Núi Ciyun	慈雲山
Thanh kiếm	寶劍
đưa cho anh ta	給他
Đen	布莱克
Biển quảng cáo	告示牌
quả anh đào	樱
Đối với vòng tròn	為圓
tan chảy	鑠
hoàn toàn	截然
Gram	剋
Tia sáng	射線
đã sẵn sàng	已经
nước Đức	德國
Thacker	撒克
rực lửa	煝
Cũ nhất	最久
vận động	征戰
Teng	騰
Trong khoảng	約佔
Vào chương	成章
Năng lực cạnh tranh	竞争力
Anh trai	哥
Trái	遗
xe tắc xi	出租车
lạnh	感冒
Yonne	约讷省
Đẹp	詑
Gini	基尼
M&A	併購
Đang xảy ra	情況
Kosovo	科索沃
Cho và	為與
Răng nanh	舑
Chăm lo	照顧
Nhện bụng	腹蛛
bụi bặm	尘
Ngốc nghếch	黆
đoàn kết	共识
Tiếp tục sử dụng	沿用
Fucheng	府城
kết thúc	收場
to tiếng	嘂
vào ban đêm	晚上
New Caledonia	新喀里多尼亞
Massachusetts	马萨诸
Nói	說
Danh mục	清單
Có lẽ	也许
Kinh doanh	商界
Thấp	低
Zhong nói	中說
opera	歌劇
Làn sóng	挥
Dược liệu	药材
Lois	卢瓦
Nâng cao	抚养
người Pháp	法文
uy tín	聲望
xúc phạm	谇
Gala lễ hội mùa xuân	春晚
Bệnh dịch	疫
Sinh tại	生於
sợi chỉ	縷
Phía trong	在內
Po	鱙
Nhiều	多种
Madagascar	马达加斯加
Thêu	綉
đóng tàu	造船
cảm tạ	謝
ác quỷ	魔界
Macedonia	馬其頓
Triều đại Đông Chu	东周
phương châm	口號
tàn sát	大屠殺
sự biến hình	變態
giá trị	價值
Thất bại để	負於
căng ra	绷
Bún	馵
Bộ Trưởng Bộ Ngoại Giao	外交大臣
Ye	邺
viết	撰寫
Với	含
bẩm sinh	先天
vai	膊
Eliot	艾略特
xấu hổ	羞
Loại cơ thể	體型
Kiểm tra và cân bằng	制衡
Nhưng vơi	但與
Tập trung vào	著重
