Thành phố	市町村
Ulu	烏魯
Biết cách học	會學
Giả mạo	膺
Zhu	篼
Sau đại học	研究生
Ở Trung Quốc	驻华
Trại	坎普
Đảng Cộng hòa	共和党
Roman	罗曼
Thống trị	支配
săn bắt	蹑
Chuyển ngữ	音譯
Nóng bức	炎热
Giảm giá	優惠
chiếm lấy	捕获
Trang Chủ	家园
Y học Trung Quốc	中醫
chuyển khoản	轉投
chuộc lỗi	赎
nguyên	原来
nguồn	源头
Kar	喀尔
Nhân với	乘以
gián điệp	覘
mật	癭
Hát	凐
Đàn vi ô lông	提琴
Tỉnh	诺省
Shao	麆
chỉ có	唯
thẻ tín dụng	信用卡
Yi	乪
điều này	这项
nhiệt độ cao	高溫
Jiangdong	江东
nhà thờ	教会
cột	欄
Vòng loại trực tiếp	后赛
Indica	秈
Sâu	蠙
Bảo tàng Ju	館舉
xứ sở thần tiên	仙境
Nam TP.	南市
thắt lại	戋
nguồn gốc	根
Nghịch lý	誖
Chia tay	漎
dọc theo	沿
Cathay Pacific	國泰
cựu chiến binh	老兵
Glycoside	苷
Thơ	偈
thịt cừu	膉
piebald	騅
Lifu	立夫
Mẹ và con	母子
Xa lánh	鮾
nước mắt	撕
Đáp lại	回覆
súng cầm tay	火器
Tảo	藻
Mét vuông	平方米
Zhu	袿
nghiện rượu	酗酒
Thành phần hình ảnh	構內圖
Siwa	西瓦
vé	車票
giết chết	杀人
lồng	籠
Phân nhóm	分组
Al	阿尔
Người la mã	一個羅馬
Haba	哈巴
Xu Guan	許冠
hồi sinh	復活
Xinhan	新罕
Hậu cung	后宮
Cuối cùng	最后
Bảo vệ	警衛
phần lớn	多數
Cơ tim	心肌
Tiếp xúc	交往
ngái ngủ	睏
Pingshi	平氏
Xứng đáng	堪
Chen	鴃
Chúng ta	烏斯
Tổng quát hóa	概括
Devin	德温
Carolina	卡罗来纳州
Yan	塉
Dự án	專案
Xuất hiện trong	出現於
Washington	華盛頓
Sachsen	萨克森
tiệc	宴
Sau khi bị	後被
Dịu đi	紓
Qiao	礄
Độc thân	的單
Cân	稱
Theo	後隨
rào chắn	屏障
Hulunbuir	呼伦贝尔
Gặp gỡ	會經
Sản phẩm là	積為
Nitro	硝基
đường glucose	葡萄糖
Ống kính	镜头
chăn thảsông Mekong	放牧湄公河
Điều này	這款
Pha trộn	掺
Nao	崞
Douglas	道格拉斯
chuông	铃
Đổ	慿
Háu ăn	餍
Beijiao	北郊
Xi	岟
Máy ảnh	照相机
Baptist	浸會
Số năm	年号
Một mới	一個新
mở rộng	延長
Lá mùa thu	秋葉
Nông cạn	浅
chữa lành	医治
Vào âm thanh	入声
Basel	巴塞尔
Lá rụng	落叶
Dou Ling	兜铃
General Motors	通用汽車
Phôi thai	胚
Dưới	在下
khỏa thân	裸體
Buồn bã	竦
Sách về	之書
Thời gian họp	會時
ham muốn	媟
Ngọn lửa	火灾
Shaowu	邵武
Hồi giáo	伊斯兰
chớm nở	蕻
Nguyên nhân	事由
Krahow	克拉荷
chèo	帆
Lan	蘭語
Ghế trên	上座
xa xôi	遙遠
Xi	慭
nền tảng	平台
Hui	慧
Tiếp tục	續劇
Palatinate	普法尔茨
Nhà tù	關押
Đảo nhỏ	小島
Phù hợp	合乎
tủy sống	脊髓
Luisian	路易斯安
Đức hạnh	德行
sự độc quyền	垄断
đi	走
Maria	馬利亞
Còn lại	遗存
đảo chính	政变
Ngày hội thông tin	資訊節
Poplite	膕
Thượng nghị viện	元老院
Qi	遒
Thơ	诗文
Cái cày	畊
ồn ào	吵
khiêu khích	惹
quân đoàn	兵團
Đường đôi	复线
Lớp là	級為
Năm đó	該年
Cho sau này	為後
tỷ lệ tử vong	死亡率
cái rổ	畚
Nhìn chằm chằm	瞐
Sting	蟄
Rizong	理宗
Từ đơn	單字
Miệng núi lửa	火山口
người yêu	情人
Mộng thịt	胬
lừa dối	诖
Tiệc	鸤
tiêu đề	称号
trục	軸
Văn phòng công cộng	公职
Gabon	加蓬
Đa chủng tộc	多族
Thiết bị đầu cuối	航站
Ba phần tư	四分之三
Đo lường	量度
Uỷ ban	委託
Tiết kiệm	攒
giun đất	蚯
Jinjiang	锦江
sang trọng	奢侈
Tia	提亞
Nghĩ này	認為這
Yanzhou	兖州
Cắt bụng	切腹
Do chấn thương	因傷
Ren	丏
Huyền Tông	玄宗
Tục tĩu	褻
bào tử	孢子
Thủ công	手动
Bun Xiu	文秀
Giảm giá	塞爾
Tình cờ gặp	跸
Pasha	帕夏
Zhu	麢
chính trị	政治犯
Đi vào	入
vượt qua	十字架
nấu nướng	烹
Nava	纳瓦
Công nhân và nông dân	工农
nhà chứa máy bay	機庫
Nội suy	插值
Của hàng thực phẩm	食店
hói	秃
Tất cả mọi người	眾人
Thân hình	躯
tiếng súng	炮火
có thể nhìn thấy	可見
sự bức xạ	放射
Hoa vang	金花
Đặt dưới	劃歸
Minnesu	明尼蘇
Từ lâu	早就
Sống động	活潑
Phía bắc	北邊
Peter	彼特
Yi	羿
không khí	大气
ghi âm	记录
Sinh viên quốc tế	留学生
đĩa DVD	影碟
Quốc tịch Yao	瑶族
Người lần	人次
Nanzheng	南征
tóc	髮
vi khuẩn	細菌
Trận đánh	格鬥
Bưu chính viễn thông	邮电
tối	黑暗
Nam Xương	南昌市
đã sử dụng	慣
Linyi	临沂
chạy không tải	颟
Chân động vật	獸腳
hấp thụ	吸收
pháp luật	法則
Cùng kỳ	同期
cho tình yêu	為愛
đường sắt	鐵路
khen ngợi	称赞
Nếu và chỉ	当且仅
Xe cộ	車種
tỷ lệ	比重
Dài	昣
chức năng	函数
Vốn dòng	線資
Fang Jian	坊間
Seoul	汉城
màn	篩
Trận đấu	賽事
Mạnh	強勁
Làm lại	重拍
Gọi	致電
Lou	蒌
lãnh đạo	领导人
Khởi chạy trang web	发射场
nhà nguyện	礼拜堂
đờm	痰
Tai nạn trên không	空难
Dốc	坡地
tàn sát	宰
Một	其一
Âm	剦
phong cảnh	景觀
bia	啤
Thêm vào	加設
Nếu vậy	若以
Shitamachi	下町
Kỹ sư trưởng	总工程师
Ngoại ô	郊外
khối u	瘤
Khuyến khích	囑
Toma	托馬
Tàu điện ngầm Cao Hùng	高雄捷運
cái cằm	頦
Cao	高架
Được gán cho	归于
Cực kỳ cao	極高
Bắn	枪杀
ít nhất	至少
Tokuyu	德裕
thở dài	惋
Allen	艾伦
Thay thế bằng	換成
Vé	门票
Instein	因斯坦
Nét chữ	字形
nước Anh	英格兰
Nhanh chóng	捷
Hen	襀
sông Ngọc	珠江
Dịch vụ ưu tú	功勋
Dai	埵
Minh châu	明州
Tai nạn	意外
Mississippi	密西西
nhọn	锐
Wei	潿
Cheng	鋮
Linh hồn	心靈
vật lý	物理學
Danh sách các từ	字表
Jue	珌
nguyên	原先
lính	士兵
Tầm nhìn	視野
Áp đặt	施以
Trung học phổ thông	高中部
Bao	葆
Béo phì	膆
Tây Bengal	西孟加拉邦
đặt	放
Turin	都靈
Jesus	稣
Quận trưởng	知府
Sống sót	生還
Pan	殚
Thú y	獸科
nút thắt	纥
Rình rập	薸
Can đảm	勇敢
Được	結為
Ghi lại	录制
Sơn	彩繪
trưởng khoa	院长
đồ sứ	瓷器
Đến	遡
khoa trương	嘐
So sánh	在較
cắt	斷絕
chuyển khoản	移交
Quân đội và	軍及
sơ yếu lý lịch	簡歷
Tiến lên	動於
một số	好几
ban đầu	本来
Trước khi chết	死前
Hoang tàn	棤
Vĩ đại nhất	最偉
Luo	洦
Khu vực quản lý	管理区
chiếc phà	船
tiếng ồn	譟
Ủng hộ	人情
khỉ	猕
Ji	畿
Cây ăn quả	果树
ẩn giấu	藏匿
Địa từ học	地磁
Loài	种
Gạo nếp	榞
West End	西区
Leby	萊比
Guangdi	光帝
phân tán	頖
Grin	咧
Lực lượng liên minh	联军
Xoắn	扭
Reagan	里根
Một phần	局部
và nhiều thứ khác nữa	等等
Cùng cha	同父
huyết áp	血压
Phun	舤
tường lâu đài	城垣
Howard	霍華德
chốt	閂
Trú ngụ	棲息於
chỉ có	僅僅
Ryan	瑞恩
Mãi mãi	永
Bảo vệ	護衛
Mở ra	闢
Tỉnh đặc biệt	特省
Để làm cho	來作
ném bom	轟炸
Sững sờ	懍
Yi	鞥
Vị trí	選址
Lower Saxony	下萨克森州
trò đùa	玩笑
Quán ba	楎
Đồng	青铜器
yêu cầu	宣称
cái cốc	觯
chiếm	占据
Hoàng đế	天子
sớm	早
Đường đi bộ	行道
Làm lơ	忽視
CUHK	中大
Công bố	发表
Giang Tô	江苏
Neptunus	鎸
kẻ thù	敵人
Trường di chuyển	動場
Yikuni	義國
bất động sản	产权
Di chuyển	動裝
Gao Jia	高加
Ngáp	儹
Kích động	風潮
đẻ trứng	产卵
Chơi	發揮
Yun	赟
Thuê	租用
fomanđehit	甲醛
Chức vụ	立场
Chuỗi	字符串
Bỏ cuộc	作罷
Cấp dưới	屬下
Sri	斯里
địa ốc	房地產
con bò cạp	虿
gia tinh	魍
Lăng mộ	陵寝
Ying	瓔
Rang	穰
Hát	淴
Mozart	莫扎特
kỷ nguyên	時代
Được	取得
Phát triển, xây dựng	衍
Massachusetts	麻省
Phiền muộn	坳
Catkin	袑
Esperanto	世界语
hữu nghị	友情
Đường sắt nhẹ	輕軌
nồi	壶
ngay tức khắc	即時
Thập tự chinh	討伐
kết thúc	終點
Ngày 26	二十六日
da	皮革
Như	作爲
Qiong	邛
Ling	廴
Kasuga	春日
tương tự	一样
Bolsh	布尔什
Yu	萹
Dongpo	东坡
Ngôn ngữ Tây Tạng	藏语
Trưởng	首長
Pai	貃
Tên Cu	舊名
đàm phán	談判
ngựa để chuyển tiếp công văn	馹
Nền tảng bên	側式月台
Nhập cảnh	入关
con chuồn chuồn	蛵
Cheng	丞
từ chức	辞职
chuyển khoản	传递
lỗ hổng	缺口
cô	姨
Vịnh nhà	家湾
cai trị	裁决
đặc tính	特徵
gặp	會合
Văn phòng chi nhánh	分公司
Thế giới ngầm	冥界
rơi vãi	落
Thoát khỏi	除掉
Trở lại	背部
Đảng Dân chủ Tự do	自民黨
Tât nhiên	咄
Ngỗng	鵝
Kushiro	釧
Yu Wang	於網
tiết kiệm	拯
Đã chứng minh	探明
Tuyển dụng	用人
Bang	擖
Mảng bám	匾额
chung	普
bộ xương	骼
Parkinson	帕金森
khí ga	氣體
Phúc kiến	福建
nhựa dẻo	塑膠
buổi sáng	早上
lòng bàn tay	榔
Bấm vào	点击
cadimi	鎘
chạm đến	伤口
citron	櫞
Cá	鳯
Tỉnh Osaka	大阪府
dựa trên	基于
trứng kiến	蚳
màu xanh da trời	藍
Asahi	旭
Tổng quat	概况
vô hiệu hóa	中和
Thành phố	该城
Hoắc	霍
Nhúng	沾
Jin	缙
Gan	赣
sao Thổ	土星
sấm sét	悺
Loach	鰍
Quận Đá	石區
Học	就讀
năng suất	讓
Phun trào	噴發
chuyên gia	知识
Chữ ký	簽名
Hal	哈爾
Crystal Palace	水晶宮
Gdan	格但
con bò cạp	獦
tiếng xì xì	嘶
triều đại nhà Thanh	清朝
tranh luận	论点
Thiểm Tây	陝西
từ vựng	词汇
Lập bản đồ	映射
thủy ngân	水星
Timor	帝汶
Rãnh	凹槽
Nhà tổ tiên	祖籍
Công việc mới	新作
Con voi	大象
Mussolini	墨索里尼
Yi	埱
Hồng Kông và Ma Cao	港澳
Chính quyền nhân dân	人民政府
Ngành công nghiệp	實業
Vôn	電壓
Vatican	梵蒂冈
Qua eo biển	两岸
Lời bài hát	作詞
nhà văn	作家
liên hiệp	联
Trận chiến	會戰
phần lớn	多半
Học viện	學府
Annan	安南
Cộng hòa	共和國
Giỏi về	擅長
Yenching	燕京
rung chuyển	晃
khóa	扣
Giáo sư	教授
Utah	犹他州
Yale	耶魯
sự thông báo	公告
Ani	阿尼
Con nai	獛
Chống sửa chữa	反修
cá đối	鯔
tối	暗
Tan	晘
Homer	荷马
Chi nhánh	分店
gọi	喊
sự nối tiếp	序列
Thứ chín	九世
chế độ độc tài	獨裁
Chúng tôi nhập	們進
Quận Gu	古县
Tiếp thị	行銷
quặng sắt	铁矿
sao lùn trắng	白矮星
Tát	肄
tranh luận	辯論
Cứu giúp	帮助
dịch bệnh	病
Video	錄影
Đồng hành	伴
Bingxu	丙戌
tai họa	鼠疫
Nhân Viên	職員
Zhen	軫
Beidou	北斗
Đồng	金文
Nhật Bản và Nga	日俄
Đimetyl	二甲基
động vật có xương sống	脊椎動物
đảng cộng sản	共產黨
Wai	嗼
Là	的是
Kublai	忽必烈
Lang	崀
Quách Công	国公
Nét chữ	字體
Đường sắt nhẹ	輕鐵
đào	掏
kho báu quốc gia	國寶
tinh trùng	精子
khăn xếp	鞨
bờ Nam	南侧
Burt	伯特
sắp xếp lại	重排
Công nghiệp hạng ba	第三产业
Vây quanh	围
kịch	戲劇
bao la	浩大
nguyên tử	原子
Zhu	朘
Thẻ giải trí	悠遊卡
Đóng lên	拢
kiểm tra	检验
Jiangdao	江道
Âm	埿
Peng	鵬
Outfield	外野
Chung tay	聯手
Thứ năm	五世
Ston	斯頓
Rong	鎦
Đạo đức	德
Người Hán	汉人
Cản trở	檃
cây lau	蘆
Tôpô	拓扑
Murray	莫瑞
Luo	鸊
Hậu hiện đại	后现代
cứu sinh	救生
Ying	頏
Wow	妗
nheo mắt	瞇
Hội trường chính phủ	政厅
thân cỏ	莛
Chuyến bay	班機
Weiwei	為維
Không cho phép	不容
Diễn tả	描
thứ mười tám	第十八
Nhạy cảm	敏
Dung môi	溶剂
Học hỏi từ	學於
Ống cực	极管
Wade	涉
điền vào	窴
Tỉnh Sơn Đông	山东省
Thảm khốc	浩劫
Ngây thơ	天真
Sha Tin	沙田
Chiến tranh Thế giới II	二戰
Mora	莫拉
Holmes	福尔摩斯
bột	粉
Bao gồm trong	收錄於
Cuộc họp cũ	老会
twitter	喳
Họ cá	魚科
Thơ	詩詞
lộ trình	路綫
nứt	呖
Buenos Aires	布宜诺斯艾利斯
Ủy viên Hội đồng Quận	區議員
Hal	哈尔
Buồn phiền	娑
dấu	标记
Những sản phẩm nông nghiệp	農產
đồng	青銅
guanidine	胍
năm đó	那年
Cú	鸮
Dòng chữ	碑文
Trẻ	扬
người sưu tầm	收藏家
Trường đua ngựa Sha Tin	沙田馬場
Thiếu sót	欠缺
Thông và cây bách	松柏
Dichotoma	萁
Jianshan	尖山
học phí	学费
Môn số học	算术
người quen	相識
Jianghan	江汉
Khai Phong	开封
Ontology	本體
Chính trị	政教
theo dõi	追蹤
Suy sụp	垮台
Hợp lý	有由
hoàn thành	完備
buổi tiệc	当事人
Và	與第
Yu Minguo	於民國
phụ âm	輔音
Trông giống như	样子
Người làm	人造
Cặp quân nhân	軍對
Lốp xe	泰爾
do dự	踌
Yao	仾
Tu nhân của chiên tranh	战俘
tiên phong	先驱
Tianzhu	天竺
Miệng nước	水口
thỏi	錁
khéo léo	儇
nó hoạt động	有用
Đến	逥
bên cạnh	旁
Ti	垪
Giáo viên	師資
Thương tiếc	慬
Phụ thuộc vào	視
Kế hoạch bài học	教案
Bực bội	愻
Naha	那霸
hạn chế	約束
Gai cứng	硬棘
Được rồi	莱特
Congzhong	丛中
Sống ở	居住于
Sông Tiền Đường	钱塘江
Garrison	屯兵
Marlene	马列
nịnh nọt	妩
Thế giới	人世
Khả năng lãnh đạo	领导层
Vật rất nhỏ	颗粒
Tong	彤
Năng lực	才華
Đứng trên	立於
Để tránh	為免
chiếm lấy	跴
người đàn ông tốt nhất	儐
Lu	瀘
Thời trang	時裝
Bắc và Nam	南北
Sinh ra	天生
phòng bếp	竈
bằng cấp	文憑
hiếu thảo	孝
ngọc bích	琭
Âm	猔
màu xanh lá	绿色
Công nhân và Nông dân Hồng quân	工农红军
Cấp độ đầu tiên	首級
Cathay Pacific	國泰航空
Đặt hàng cá	魚目
Xi	钖
Williams	威廉斯
chuyển	输送
kiều mạch	蕎
Leah	利亚州
Nhóm bàn	表團
Shunji	顺治
Bôi trơn	抹黑
Trồng cây	种植
Đội tàu kết hợp	聯合艦隊
Tam giác	三角形
Hy vọng tốt	好望
Bệnh tiểu đường	糖尿
Âm	龝
Biển nội địa	內海
Người máy	器人
Giỏi về	擅
John	翰
Sâu	蝘
hẹp	狭
biên độ	振幅
Đánh nhau	争
nỗi sợ	恐懼
bộ lịch	砑
Bing	鴂
hạn chế	有限
Khớp nối xương	髁
Xianbei	鮮卑
phổ cập	普遍
đến	抵达
Ngư dân	渔民
Lấy được	派生
Phong cách mới	新式
Huh	寗
Tỷ lệ sử dụng	用率
Du kích	游擊
Giành chính quyền	夺权
Tấn	郇
Chuo	綽
Pipi	騹
ấu trùng	蝤
báo cáo	汇报
Rwanda	卢旺达
túi treo từ thắt lưng	裢
tâm trạng	情緒
Độc quyền	专属
đứa bé	宝贝
Zeng Guo	曾国
Tang	蔤
cửa	门
Không thay đổi	康斯坦
Âm	堦
Trường Cao đẳng	高校
thiên tai	眚
kỹ lưỡng	徹底
cacbonyl	羰
Ante	安特
Gan	肝
Xuân	烜
bảng điểm	抄本
khác thường	异常
đó là	就是说
Hiệp sỹ	騎士
Kiếm sống	為生
sử dụng	用
Tặng kem	奖金
Colombia	哥倫比亞
nhà ở	议院
Nhưng đối với	但為
Berea	伯利亞
Sau chiến tranh	戰後
Hua Hua	花花
Kuwait	科威特
Uruguay	乌拉圭
Ontario	安省
vấn đề	事项
Còng	枎
ném vào sự nhầm lẫn	攘
Zuozong	左宗
Như	当做
chính quyền	国民政府
Rác rưởi	圾
Siyu	斯於
Văn phòng	務處
Tugu	吐谷
hủy hoại	摧毀
Chia đều	平分
Chịu	担负
Ủy ban Thường trực	常务委员会
Nhập tịch	入籍
đối ứng	倒数
Ban hành	颁布
thay đổi	变更
Sẽ mang	會帶
Nền tảng	站台
mục đích	瞄准
Hạt Xie	潟縣
Hoàng tử	普林斯
Ngăn	廂
bảo vệ	警备
Phụ	洘
Thực lực	實權
bạc	銀
Định nghĩa	定义
Lộ ra	曝
Xây dựng Tổ quốc Dân chủ	民建
Đại hội thể thao châu Á	亞運會
bản ballad	民谣
Đội	隊隊
Hiền nhân	耊
sói	狼隊
Chi	啽
ngày thứ ba	第三
Jianmin	建民
Tổn thương	病變
biên giới quốc gia	国界
Bligh	布莱
Cây ngang	襣
Tự lập	自創
Taji	塔吉
Thượng Thư	尚书
Phần trên	上部
Tháng sáu	峻
Daewoo	大宇
Ủng hộ	扶持
Đại hội	總會
Quê nhà	回乡
làn đường	巷
Cygnus	天鵝座
Anh hùng	英雄傳
Bị lây nhiễm	感染者
Ao	嶴
Collins	柯林斯
bình đẳng	平等
Truyền hình vệ tinh	卫视
dữ dội	劇烈
mỗi	各
Bắc	北部
Đàn Trung Hồ cầm	大提琴
Ne	訥
Ô cửa	門口
Coro	科罗
điều khiển	控制
Tiệc	鳲
Sông nước	水河
Thành phố Tế Nam	济南市
Jim	吉姆
đi hành hương	朝聖
Nhóm tiệc	黨組
tỷ lệ	率
vai trò hỗ trợ	配角
phi	丢
tây nam	西南
quan hệ	親戚
Ito Hirobumi	伊藤博文
giỏ trái cây	笾
Sự vụ	事务
Re	重新
R & D	研发
Mặt tiền	前列
Tát	燵
Kỉ niệm	回忆
ngày Quốc khánh	国庆
Được coi là	算是
Huân	嬛
Học hỏi	學及
xenon	氙
Cục khí tượng	氣象局
Co giật	璵
vàng da	疸
giống	雷同
vách đá	峭壁
vùng ôn đới	溫帶
Xiao	蕭
Công nghiệp nặng	重工
loại bỏ	消除
quý bà	夫人
hơi thở	气息
soái ca	元帅
lớp học	班
cây tre	竹子
Truyện	艋舺
Xã hội	社
Ít hơn	減
Emperor Yan	炎帝
North Rhine West	北莱茵威斯特
trường đại học	大學
Nian	鷇
quyền con người	人权
Ling	菱
Tám mươi	八十年代
thư viện	圖書館
Fengtian	奉天
con trai của	之子
hàng tuần	週刊
Thông thoáng	清晰
phụ âm	子音
Jian	阇
Hướng ngoaị	出线
Pan	葃
Hỗ trợ	辅佐
Trong cuốn sách	書中
Bộ trưởng bộ quôc phong	国防部长
Bắc Kinh	北京市
Xueliang	学良
Trục xuất	開除
Truyện tranh	漫画
Dòng đầu tiên	一線
Khóa	龅
Nanyue	南岳
Giao hàng	送交
Ý nghĩa	含义
Số tiền là	額為
trường cũ	母校
Nao	垴
phước lành	福
sự tái tạo	再生
rượu ủ hai lần	醾
đại sảnh	大厅
Yun	耘
lãnh thổ	領土
tiêu đề	稱號
Xilin	西林
Đen	黭
Uptrack	上溯
nhân	乘
tà ác	奸
Boston	波士頓
Kera	蝼
Kanda	神田
Các tổ chức học cao hơn	高等院校
Yi	伹
Che	封面
Lỗ	腔
sợ	怕
người Pháp	法式
Cây thông	枞
thù địch	敵對
tối	阴暗
Ghi chú du lịch	遊記
đau đầu	头痛
Dinh thự	豪宅
từ	以來
Torres	托雷斯
Taoyuan	桃園
tạo ra	生成
Một loại	一種
Di sản	继承权
Giác ngộ	啟示
Muối	鹽
Lịch sử đảng	党史
Sunan	苏南
Min	珉
Lên dốc	上山
đảng phái	黨人
ngôi đền	圣殿
video	視頻
Lo lắng về	榃
Uganda	乌干达
Phía dưới	低於
tức thì	瞬
gấp ba	三重
Rượu sâm banh	香槟
quyền lực	大权
Alan	阿兰
Xấu hổ	淏
giấy	论文
Cải bắp	菘
Shi	眡
Thực hành	實務
Và phía bắc	與北
Có thể	能為
Daoguang	道光
Turin	都灵
đỉnh núi	山顶
Hãn quốc	汗國
vết sẹo	疤
Dẫn điện	傳導
Mô hình xe hơiKiệu	型车轿
côn trùng	昆虫
rực rỡ	華麗
Mạnh	彊
Hẹn một lịch khám	了約
Những vị khách mời	客人
Yêu cầu	主张
Mông Cổ	蒙古人
Yi	詒
ven sông	河沿
Thiếu oxy	缺氧
Bộ Công an	公安厅
Các biến thể	变体
Deserter	荒者
giết chết	僇
Nhà xác	殮
Tiền giấy	紙幣
Lãnh thổ mới phía đông	新界東
Hộp số	变速箱
Khả năng chạy	行性
muốn	通緝
Thẩm quyền	權限
Biển Đông	南海
Oran	奥兰
Netizen	網友
sợi chỉ	緖
vĩ độ	纬
Hu	豿
Bunker	碉堡
bí mật	秘密
Bulbul	鵯
ngột ngạt	悶
Phản công	反攻
toán học	數學
khí hậu	气候
thích hợp	適
Nét chữ	體字
Leon	利昂
Đẩy lên	撆
Quần lót	褡
Qi	秾
Đồng nghiệp	会士
Nitta	新田
tai Chi	太極
bảng	闆
lớp học	類
sẵn lòng	愿意
Toma	托马
bẻ cong	拗
lý do	缘故
Cái đó	那個
Cơ động	机动
Fred	腓特
Lu	渌
Pu	鶖
Đi xuống	下来
do dự	踟
Dân số gram	克人口
Ga thị trấn	町站
ghê tai	濇
Hàng triệu	数百万
vườn	園
Bạn diễn	合演
Ye Liu Shuyi	葉劉淑儀
nhung	絨
Pal	帕爾
nguyên nhân	引起
nỗi sợ	恐惧
Át chủ	埃斯
Trở về nhà	返航
viết	编写
Nâng cao	进会
đậu xanh	豌豆
Sau khi chết	過世後
dinh tổng thống	总统府
Tangjiang	塘江
gà tây	土耳
lẻn vào	潛入
Khu dân cư	住宅
huy chương	獎章
Johnson	约翰逊
Hoàng Phố	黄浦
sợ hãi	猲
Qi	継
Hát	飮
sáng kiến	主动
thỏ rừng	野兔
trước mặt	前线
Bắn cung	射箭
Dương	汸
giết người	謀殺
Monta	蒙塔
Quân đội Kwantung	关东军
Nghệ sĩ guitar	吉他手
Ký ức	記憶體
cảnh sát	警
Sau đó	後則
Số ba	三位
Ban giám đốc	董事局
xe	马车
dạy	誨
sau đó	接著
tạm thời	临时
Sogdian	粟特
hệ thống	体系
Zhan	杘
Áp dụng cho	應用於
Lời thú tội	宧
xà lan	駁
Khu rừng	林区
quí	珍貴
Renhe	仁和
Tốt	贐
lũ lụt	洪
hạt giống	籽
Phong chinh	正室
Các mặt hàng	貨品
Thắng kiện	勝訴
Cà vạt	逹
ở phía sau	在後
sân	院落
xà gồ	檩
Ủy ban quân sự	军委
Yong	剢
bài đăng	邮报
Gunsan	群山
Bắt vít	伯苓
vườn bách thú	动物园
lũ lụt	汛
xoay	转
Rào	闒
Sa mạc	荒漠
Bắt đầu chụp	開拍
Ở New York	在紐
cánh tay	臂
Tầng hầm	地庫
một lát sau	往後
Zurich	苏黎
Bưc tượng Phật lớn	大佛
Đây	此處
Cạn kiệt	耗盡
tiềm năng	潛在
nhà máy rượu	酒厂
Di chuyển	動會
đặc ân	特權
Lông	海爾
Yoga	瑜伽
sự tương thích	兼容性
Bị đánh bại	战败
lông vũ	羽
Trân trọng	敬
Y khoa	毉
khoa học đời sống	生命科学
Mất đi	失传
Bún	饃
trái cây	果实
Kho	倉庫
Các lực lượng đặc biệt	特種部隊
Nhóm quân	集团军
Essex	艾塞克斯
Nhân viên xã hội	社工
giải cứu	營救
cho	对于
Tiao	灄
cán cung	弣
Cháu trai	甁
Cập nhật	更新
Đầy tham vọng	有志
Trên tàu	船上
Ngoài khơi	外海
biên giới	边境
Khi nào	時獲
yên tâm	放心
cá nhân	单人
cấp	等級
Fernan	费尔南
Danh lam thắng cảnh	景点
kiểm tra	試
bài đăng	哨
Bo Xilai	薄熙来
Người israel	以色列人
Trung Quốc ở nước ngoài	华侨
Nhiều	地段
Phức tạp	复合体
Dép xăng đan	屨
Dòng sông màu vàng	黃河
bắn	開槍
Khách mời	嘉宾
Sting	韲
Tải về	裝
hẻm núi	峡
Và sẽ	並會
Viêm màng não	膜炎
thallium	铊
nhà ở	豪斯
đầu lâu	顱
đồ lặt vặt	脞
tích lũy	堆积
Beihe	北河
Tổng quát hóa	广义
Zheng	蜧
chuyển khoản	转移
Bảng điểm	謄
Qi	綕
Yong	凟
Trình độ	度使
Whit	惠特
Ca sĩ	歌星
Giết chết	弑
đèn neon	氖
Impatiens	凤仙花
xuất sắc	卓越
tình hình	現況
Ina	稲
Núi và sông	山川
Truy tố	檢察
Phân phát	散发
Cao cấp	耆
Tên quận	县名
Volo	沃洛
học viện	学术界
kéo	拖
tài giỏi	巧妙
Giàu có	里奇
Hu	禇
Phong cách	风格
Shigechen	重臣
Antonio	安东尼奥
du lịch	旅遊
trẻ	年青
Để sử dụng	以用
Kêu la	嚷
Tài khoản	账
Wei	韡
van xin	乞
Chọn	寀
một nửa	半数
khác thường	畸
Sina	新浪
Gad	加德
Kowloon	九龍
Curie	居里
kẻ trộm	贼
Giả sử	為設
trẻ	年輕
Nếp	胋
chuột	鼠
Phổ biến	走紅
lựa chọn	選擇
Báo cáo	报道
mật	瘿
Li	楩
Qian Yan	前燕
thành phần	組成
Doanh nghiệp	企
Phát thanh	播出
Chương trình	綱領
Weimar	魏玛
ao	池塘
Âm	餠
Chuỗi cửa hàng	連鎖店
Hoàng Phố	黄埔
hội nghị thượng đỉnh	首腦
Nước nóng	热水
Ổn định	落户
Hình nón	錐
Gui	桂
Jiang Jie	蔣介
suy nghĩ	以為
Hơn	比的
Kinase	激酶
xác minh	驗證
Quyền lực	权势
Nhưng hai	但兩
viết	写
Sẽ được bởi	將由
Quân đội	军军
FireWire	火線
Hạt Pu	浦县
chùm tia	粱
Quận Đông	東區
ảnh hưởng	影响
Phi hành đoàn	剧组
Sự an toàn	安全
chuyên gia	专家
sức mạnh	實力
Abutilon	檾
bao cao su	避孕套
Thỏa thuận	成交
Ý tưởng	概念
đêm	夜
Kinh Aham	阿含經
Ủng hộ	青睐
xé xác	稊
Rini	里尼
NATO	北约
Đảo hải nam	海南岛
Đắc thắng	凯旋
Olympic	奧林匹克
Nơi sinh	发源地
khởi đầu	起动
Trụ sở chính	本社
Nửa tươi	鮮半
Lu	禄
tốt nghiệp	毕业
Tham gia	並參
Drôme	德龙省
chống lại	針對
đói bụng	饑
vỏ sò	貝
súng lục	手枪
Huy hiệu	纹章
Jin Dai	金代
