Túp lều	庐
Và vua	與王
Quận	的縣
thương hiệu nổi tiếng	名牌
trơn tru	光滑
Bài học	講學
Narita	成田
nghĩa là	意味着
quân dai	褲
HKUST	科大
người đàn ông	男人
Giữa	介于
Và để	並向
hình dạng	外形
buổi triển lãm	展
Trái	遺
sống động	生动
Jie	婕
Dòng	台詞
Hàng ngàn dặm	千里
Vất vả	奋
cuộc hẹn	任用
Bắt chước	仿
Chết	駕崩
Bang miễn phí	自由邦
tháng Ba	行進
rơi vãi	滴
đống đổ nát	殘骸
Osaka	大阪市
Chu	榘
Nhà hàng	酒樓
công việc	办事
Phần lớn	大部
Cuộc cách mạng	公轉
Dạy	授课
Mann	曼恩
Phi tập trung	分散式
bẻ cong	紾
con chuồn chuồn	蜻蜓
Tháng bảy	七月
Taiping	太平
Si	巳
phía đông	向東
Rhea	瑞亞
Nianri	念日
Tìm kiếm	蒐
củ cải	萝卜
Trong và ngoài	进出
rau mùi	荽
Sudan	蘇丹
Đang vẽ	繪圖
Việt cộng	越共
Tiết kiệm	悭
hạt	縣
người lạ	生人
Yếu	弱小
Cho	賦
Cái bình	投手
Làm việc chăm chỉ	努力
Chèo	航
giải quyết	解決
hai mươi ba	二十三
bao la	茫
Hui	翬
đường mía	甘蔗
con cóc	蟆
Cố ý	审议
đăng nhập	登录
Hộp tốc độ	速箱
chôn	墐
Âm	瑘
Sydney	雪梨
Nemesis	仇者
Dọc và ngang	纵横
Ren như	任为
Nhạc rock	搖滾樂
Làm	使
amin	胺
Bán	販賣
Servo	伺服
Môi trường sống	棲息
Ngôi sao trực quan	視星
vẫn	犹
thẩm mỹ viện	沙龙
Theo thời gian	不時
ngoại trừ	除外
Ngày của Chúa	主日
đoạn văn	段落
Tính nhất quán	一致性
Âm	鄏
Lợi thế	利物
Côn Minh	昆明
thời gian bắt đầu	開始時
Đã được chấp nhận	公認
bạo loạn	暴动
vỏ quả	荚
Nâng cao	升讀
Yu	庣
Trong khoảng thời gian	時內
Ninh Hạ	宁夏
Tuyết tùng	杉
thuốc phiện	鴉片
Rồng đen	黑龍
Lộ ra	揭露
Lưu lượng hành khách	客流量
Tát	攞
Shi	轾
mở rộng	昄
tấn	声调
Quận	尔县
ngày cuối tuần	週末
Hiểu rồi	了之
đỉnh cao	峯
Nhìn chằm chằm	笞
Vịt Bắc Kinh	鸯
Xù xì	颷
Hỏi thăm	询
Không muốn	不願
dữ liệu	資料
tài sản	资产
Phải	須
Không	没
linh vật	吉祥物
ủng hộ	養
chủ yếu	主要
Tác giả	作者
ăn được	食用
Phong cách	式样
cờ	帜
Sẽ nó	將它
Wald	瓦尔德
Keqin	克勤
Biến đổi	變換
buồn	悴
bánh ngọt	籹
Nhạt	稃
Thắng lợi	場勝
Năm người	五人
nhộn nhịp	繁华
Ngớ ngẩn	尙
Nguyên tắc	準則
Xiying	西營
Chiếm đất	佔地
con kỳ lân	麒麟
đi vào	進入
Quốc gia	该国
Giảm giá	買賣
Cha	槎
thở dài	歎
Tịnh độ	净土
thiếc	锡
Đọc	读取
Dòng	該線
viết	寫作
Lầm bầm	喃
quay cuồng	洄
Huh	唓
Con gà trống	屌
Cang	滄
Sống sót	倖存
Hát	俀
Zhu	栴
con gái	女孩
Guinea	几内亚
đồng phân	异构体
Lịch	曆法
Khi nào	當於
thành phố	市
Fukuji	福寺
Quân tình nguyện	义勇军
chim chích chòe than	莺
tổ	蔟
để trần	齜
Nâng cao	筹集
Rình rập	蹥
bari	鋇
Dài	垅
Cả hai	既
than hồng	燼
công cộng	公開
Một lần	曾经
mở	開設
Xã hội	社团
Ya	遐
Không bao giờ kết thúc	終沒
Giờ	時數
mùa vụ	嗉
Gọi	吆
Người miền nam	南人
Pula	普拉
Tám	八個
Choáng váng	怄
trì hoãn	推遲
Toàn năng	全能
Darwin	达尔文
Chính quyền quận	区政府
Tiantai Sect	天台宗
ngọc bích	珔
Bầu trời đầy sao	星空
Long Môn	龙门
Quá Phúc âm	太福音
Những người lính	兵
Quận Wong Tai Sin	黃大仙區
Li	橾
Băng sơn	伯格
Hu	禑
và cả	還有
vỏ sò	殼
từ trên trời rơi xuống	陨
Dongzheng	東征
đóng	密切
Lịch sử chính thức	正史
Giờ học	學時
Khu du lịch	旅游区
nhật thực	蝕
Meo meo ~	喵
Li	谠
Dingshi	定市
Nakaze	中則
Tiếng Quảng Đông và tiếng Trung	粤汉
Shanhaiguan	山海关
Tháng tư	四月
thực hiện	完成
cái đầu	頭
Sông han	汉江
nước ngầm	地下水
Quyền hạn	辖区
Lin'an	临安
tháng Ba	進行曲
Chân dung	画像
bộ lạc	部落
Kết thúc	越过
Anime	动漫
sau	事后
Bịnh giang mai	梅毒
xuất bản	出版
Tích trữ	蓄
Một cuộc nói chuyện	一說
người sáng lập	建立者
danh tiếng	功名
hộp đựng vũ khí	櫜
nhọn	急性
ngai vàng	宝座
Khói	燻
vui sướng	歡喜
Vài lần	數度
công cộng	大眾
Luo	羅
Sách giữa	中書
Catalonia	加泰罗尼亚
Thứ sáu	星期五
Lian	璉
Ưu tiên	首選
thuê	赁
Cứu giúp	济
Gerakan	民政党
Chú	叔
thuật ngữ	期限
thật thà	誠實
cái chùy	鐧
Buồn phiền	儃
Mitte	米特
quyền anh	拳道
Andrew	安德鲁
Qi	觾
Gay	同志
Tao	弢
sống sót	生存
hạ nghị viện	下議院
Đồng thời	同时代
Cầu vượt	天桥
Lực lượng bó	束力
phía sau	後進
lâm sàng	临床
Tới trước	事前
giống	相似
Izu	伊豆
Mờ nhạt	怑
diễn viên phụ	未成年人
kịch	劇
Tham gia cuộc chiến	参战
hạt giống	种子
Xịt nước	噴
Gấp đôi	的雙
bản ghi nhớ	備忘錄
Làm mẹ	母艦
Seth	塞特
Hoàn tác	撤消
Lux	力士
Nội trú	寄宿
Bằng gỗ	木制
Phía chúng tôi	我方
Shijin	時進
Tiêu đề	業權
Đúng đắn	义勇
Nước ngoài	外國
dán lên	撅
Toàn thời gian	全日制
Huân	浣
Muối	鹾
tiền bạc	錢
Các	该
Trên không	空降
Sao lùn	矮星
Con đường	小路
Người đi bộ	行者
phỏng đoán	猜測
keo dán	膠
Kháng cự	耐
nhân	繁衍
Máu đỏ	血红
Săn bắn	搜捕
Quốc gia	國定
ngôi đền	庙
Nhánh ngôn ngữ	语支
Tsang Yin	曾蔭
MTR	港鐵
Yak	牦
Giải vàng	金像奖
Tất cả	全部
Jian	鉴
hình phạt	刑罰
nói dối	谎
liên minh	邦聯
động năng	动能
Phụ trách	掌管
trường tiểu học	小學
Rosen	罗森
Aub	奥布
không đúng	不當
Giải trí	康樂
Gốc	源流
ghi bàn	评分
Hiệp ước hòa bình	和約
khớp nối	聯結
rau	芼
Những người bình thường	常人
Tấn	汫
nói dối	謊言
quán tính	惯性
rõ ràng	逴
của	的
ghi lại	唱片
Thio	噻
Quét	斯堪
thuyền nhỏ	艋
Trang điểm	粧
Dụng cụ	文书
Tường thuật	記述
cửa sổ lưới	牖
Phỏng vấn	接見
câu trả lời	答
Than van	呙
Được tách ra từ	分別於
San Jose	聖荷西
người Trung Quốc	華裔
cá cược	赌
Bởi	藉著
Bu	埗
Quan hệ họ hàng	亲缘
Glenn	格伦
Cấu hình	配置
buổi sáng	晨
Có lời	嗦
hình trái xoan	卵形
gia tinh	魈
Hồ Bắc	湖北
Tầm nhìn	視覺
Lực kéo	牵引力
ứng dụng	应用
Đầu tiên	先
Yen Nhật	日圓
Huân	澣
Sâu	蠁
hòa hợp	和聲
Tang Gaozong	唐高宗
Không có tóc	无毛
Thành lập	創始
tái hôn	再婚
uy tín	名聲
Trong đội	隊中
Yun	郓
Đảng dân chủ	民主党
Cây bách	柏
triệu chứng	症狀
Công ty tại	公司於
thương mại tự do	自由貿易
Phía sau	後在
bóng đá	足球
Đính kèm	附着
Yi	迍
khắp	各处
Cuộc bầu cử	选赛
Hành động thay mặt cho	代行
Xi	郩
Chọn lọc	选择性
dấu	马克
Bản thảo	手抄本
phút bay	蠛
Rơm rạ	秸
đi ra	问世
Chuẩn bị	備總
Quy định	條規
Bị chặn	受阻
Theo dõi	賽道
nhưng	却
Erde	尔德
Không được thiết lập	不設
Cá đực	雄魚
Ốm nặng	重病
Đảng viên dân chủ	民主党人
đen	玈
Bao vây	圍第
tủy	骨髓
Zhao	钊
Nuo	儺
Aki	阿基
Tỷ euro	億歐
có thể thay đổi	多变
tiết tấu	击败
bờ biển	滩
con dơi	蝙蝠
Khi họ	當他們
Vù vù	嗖
Vợ lẽ hoàng gia	贵妃
xe tải	货车
Đông người	拥挤
đập mạnh	怦
Khớp nối	鉸
Trận đấu	相符
độ đục	浊
và	并且
Donau	多瑙
Cư dân	駐
Studio	录音室
cùng với	隨著
thiết lập	建立
bước đi	蹀
Thuyền	艇
Môn học	学科
Lốp xe	轮胎
Chăm lo	打點
Em gái	姉
Hội nghị	代表大会
nhiệt độ	温
Tong	潼
Karp	卡普
cấp dưới	下属
Xây dựng	幢
chiếu trúc thô	籧
vắt kiệt	擠
nhẫn	響
Phân loại	归类
du côn	暴徒
Giá đất	地價
Mọi người	人來
Tao	焘
Bị thương	傷者
nói lại	重複
Dati	達梯
Là nó	吗
nghẹt thở	噎
Đại hội đồng	大会
hoa sen	蓮花
Phía trong	内侧
keo kiệt	啬
Taihang	太行
Nói	发言
Khách du lịch	旅客
Ti	逖
Cánh tay	翼手
Fangshi	坊市
Mo	摩
Austin	奥斯汀
Qi	碁
tỉ mỉ	细致
Cho thế giới	为界
Người Mỹ	美式
cho phép	允
Thuật toán	演算法
Đàm luận	论述
Pia	皮亚
lực lượng	力
đỉnh cao	顶尖
Người Sassanian	薩珊
đền thờ bằng đá	祏
Đền bù	賠償
Quận Nye	奈区
Shikai	世凱
Thừa kế	承袭
Frankfurt	法蘭克福
gian xảo	狯
cướp bóc	掠夺
Giải thưởng lớn	大賞
Dấu chân	足跡
Kẹo bơ cứng	太妃
Hông	臀目
men	珐
tinh vân	星雲
Đường thủy	水道
tín dụng	信用
Sai lầm	错
Novgo	诺夫哥
dày	蓊
dễ dàng	容易
khuynh hướng	潮流
Puerto Rico	波多黎各
Latvia	拉脱维亚
Tây An	奷
Silla	新羅
Tòa án tư pháp	司法院
Kiểu	型別
Cộng hòa Séc	捷克
cái tát	掴
mạnh	醼
Địa điểm quan tâm	名勝
Tổng quat	概述
Henry	亨利
Ngôi sao nhí	童星
Zhuo	倬
Chiến thắng vĩ đại	大捷
Xấu	厄
Đến Nhật Bản	對日
trạng thái bài hát	娀
Desheng	德生
con rận	蝨
Hội trường Tổ tiên	宗祠
ve sầu	蝉
ngọt	甜蜜
Luân phiên	相间
sử dụng	采用
Hoàng đế	英皇
Tình yêu phương bắc	北愛
đường sắt	軌
Sẵn sàng sử dụng	即用
Sego	塞哥
rỉ sét	銹
Nhà xuất bản	出版社
Bonn	波恩
Belfort	贝尔福
Shi Ye	時也
hạt dẻ nước	芰
Nguyên tử	核子
Tên	用名
trà	茶
gia đình hoàng gia	皇室
tội ác	罪
yêu và quý	愛情
Sáng	璀
Noy	諾伊
Kamchat	堪察
Thuê	聘
đảo san hô	环礁
Dưới cửa	門下
U nang	胱
buồng	内阁
Vài năm sau đó	數年後
Ma Ling	馬鈴
thiếu	匱
Kim il sung	金日成
Yên tĩnh	蜆
âm trầm	鱸
Đức Giê-hô-va	耶和华
Bảo vệ gỗ	木卫
pizza	比萨
Tìm thấy	找尋
phần lớn	最为
nhiều dòng	多條
Cá lóc	鳤
Keith	基斯
Murri	模里
Nev	涅夫
danh tiếng	成名
Cấp độ	層面
Thành phố Trương Gia Khẩu	张家口市
Cốc họp	會盃
có thật không	果然
Mẹ kiếp	操
Em gái	姊
hút	咂
Thành phố Trường Xuân	长春市
Canterbury	坎特伯雷
San Po Kong	新蒲崗
Quân đội	軍第
Sử dụng quân đội	用兵
Ngành đường	糖業
Hai	兩家
Bốn	四個
Yi	乩
Im lặng	嘘
sự hy sinh	犧牲
Thành phố nước	水市
Algiers	阿爾及
Toàn bộ cuốn sách	全书
Mi	弭
Xấu hổ	魒
Buồn phiền	挒
Lang	崚
Thành tích	事成績
hẹp	筰
Khó xử	閡
Xa lánh	闠
Stein	士坦
ngọn núi dưới biển	海山
tình hình	形势
Đê	皮埃
chim	雀
Sha	痧
tống tiền	勒索
phiền muộn	哀
Chúng tôi là	們於
Li Zong	李宗
Nên	应
Shimbashi	新桥
ma trận	矩阵
yêu và quý	爱情
họa sĩ	画家
sàng	簌
Sâu	深層
Pascal	帕斯卡
Đẻ trứng	催生
Tốt	赆
Hoa sen	荷
Bộ ba tác phẩm	三部曲
Cho một	為一
vòng	环线
khu tự trị	自治区
giám thị	畯
làm	令
bóng nhờn	膩
Suy sụp	壓抑
Xinh đẹp	麗的
giật gân	潑
kêu vang	铛
Không chính xác	不確
Trượt băng tốc độ	速滑
Barberry	檗
thứ hai mươi mốt	第二十一
Yuzhou	豫州
rỗng của một cái cây	枵
Mảng	阵列
mùa đông	鼕
Yate	亞特
Cá tráp	鳂
Dòng phía Tây	西线
Vật chất	材质
xa	遠
Brooke	布魯克
mỏng manh	阿姆
chuyển tiếp	过渡
Ban cho	格兰特
Chung	联席
nhà từ thiện	慈善家
Tandem	串联
Apollo	阿波羅
Xuất hiện	外表
Tống đạt câu	服刑
bố	父亲
Gặp	迎擊
Quần đảo	爾群島
Anhal	安哈尔
tiểu	尿
đơn vị	单元
Sin	正弦
Khắc lên	瓜分
Phía bắc	北侧
Dài	珑
tội phạm	罪犯
lười biếng	懒
dừa	椰子
Madan	瑪丹
Tom	嗵
Thụy sĩ	瑞士
Cải tiến	改进
thành viên	會員
Hợp lý	邏
Công dân xã hội	社民
Ye	晢
Baptist	浸信会
chín một	九一
Ấn Độ	印度
Cứu giúp	扶
trưng bày	展出
khắc	刻
điểm khởi đầu	起點
loại trừ	排除
chồn	貂
khỏi bệnh	瘥
nước Bỉ	比利时
tua	缨
duy trì	保持
Quân đội Nhật Bản	日軍
Một bữa tiệc	一黨
niêm phong	緘
Lãnh sự	執政官
Súng trường bắn	擊步槍
giật gân	泼
Copernicus	哥白尼
máu	血液
Y	厪
Xiangxi	湘西
Đông tới	東至
tăng lên	涨
Ruth	鲁斯
Sự sụp đổ	坍塌
Nya	尼亚语
Đẳng cấp	卡斯泰
Wei	渭
Neo	尼奥
Con rùa	鰟
phòng	屋子
Lãnh thổ	境内
Vội vàng	飈
Chiều rộng	幅
than đá	煤炭
cướp bóc	掠奪
Đến	而来
Nội chiến	国共内战
Su	蔌
Hiện tại là	現為
ly hôn	離婚
Maria	瑪麗亞
bàn chân có sáu ngón chân	跂
giai đoạn	相
Thô tục	俗
Klim	克里姆
Nói chuyện	叨
Hát	啁
Qi	雂
Dưới cửa	门下
rực rỡ	藇
Bắt đầu với	開始與
Vợ cũ	前妻
nhất thể	酉
Bắc Mỹ	北美洲
tử vong	死亡
hạt dẻ nước	荠
tiền mặt	现金
Điểm cao nhất	最高点
thịt khô với xương	胏
Khuyến khích	提昇
nghèo	贫
tấn công	抨击
Shan Gan Ning	陕甘宁
Watts	華茲
Nhảy về phía trước	跃进
âm mưu	情節
Xuechuang	學創
Báo cáo	報導
Po Leung Kuk	保良局
呒	嘸
Đã trang bị	配備
Changan	长安
giáo hoàng	教皇
minh bạch	透明度
cây kim	鍼
Sinh	诞
Quân sự và dân sự	軍民
Cũ	為舊
Tongzhi	同治
vết nứt	坼
Đường vòng	繞過
Columbine	哥伦
Hà nam	河南
khóc	哭泣
Trở thành vua	成王
Ryukyu	琉球人
tỷ lệ sinh sản	生育率
niken	鎳
Beth	貝斯
cuộc xung đột	冲突
Bột nhồi	击球手
Nổ	連發
tất cả mọi người	大家
hẻm	胡同
dây thừng	繩
nghèo	貧困
Đi đến	前往
đặc phái viên	特使
Năm đó	该年
Yongnian	永年
Columbine	耬
bằng lòng	懨
mặc	佩
Bài báo	條
Think tank	智庫
Khu trung tâm	中央區
Hôi	煴
ga tàu	站
Ming	澺
Sumen	蘇門
răng	牙齒
Nghệ thuật	藝文
Lai	籟
Thay đổi	改隸
Thời gian chạy	运行时
Được mời	应邀
biết rôi	知
Thành phố Ming	明市
Zeng	間曾
Brahma	梵天
Chế nhạo	讥
chì	引
Đã phát triển	所開發
Boli	玻利
Niêm phong	玺
Thống đốc	巡抚
giữ lại	憋
Đầu tiếp theo	下目
Hagen	哈根
mua chuộc	贿
Tỉ lệ	刻度
Cơ chất	底質
nói chuyện	談
Phản công	反擊
Người nổi tiếng	明星
Jian	戬
người lớn	成年
Sẽ lấy	會獲
trong trường hợp	如果
không khí	雰
Phá sản	破產
Ghat	加特
Trì trệ	停滯
chính thống	正統
cứng	僵
lưới	网格
hướng Tây	威斯特
iốt	硾
Lượng mưa	降雨
Tỉnh thành phố	省轄市
bùn	淖
Rio de Janeiro	里约热内卢
Các tòa nhà	建筑群
Gna	格納
Cổ xưa	古代
Xem xét	审
Renao	人奧
nửa đời người	半衰期
Yi	羱
Số Pi	丕
TV	電視電
Thế giới ngầm	黑社會
cao	高
thí nghiệm	实验
Gợi ra	引出
mưa bão	暴雨
Dong	琡
đỉnh	頂點
Đảng Dân chủ Tự do	自民党
ngôn ngữ	語
Eukaryote	真核生物
Ứng cử viên	参选
Có hiệu quả	高效
sốt	觱
Ottoman	奥斯曼
Yushi Zhongcheng	御史中丞
Đỏ	為紅
Chim cốc	鷀
Hộ tống	押解
chim cu	鵑
Tất cả nhân viên	全員
chi nhánh	分枝
Chenghua	成化
Huimin	惠民
Chính trị quốc gia	國立政治
Vật phẩm này	該項
Yu	騠
Khai quật	發掘
Thành phố Changhua	彰化市
Môi trường sống	棲
Thịnh vượng	娋
Guoan	国安
Chan	浐
Chỉ huy	指揮部
Trung tâm	中環
nhúng	蘸
tội	罪惡
phản ứng	響應
Nia	尼亞
Đạo cụ	道具
đường phố	街头
cảm tạ	感谢
Pip	霈
Bella	貝拉
đứa bé	寶寶
giới hạn	限
Massachusetts	马萨诸塞
Đồng thành lập	共設
Grub	蠐
Sự công bằng	正義
ngớ ngẩn	愚蠢
phía trong	裡面
khinh thường	藐
Ya	桠
Đổ	斟
cảnh giới	境界
Quận	為縣
Bản dịch tiếng trung	漢譯
thượng nghị sĩ	参议员
quỳ	灊
Sexy	性感
chiếm đóng	占領
Hàng ngàn	万千
Kiêu ngạo	棁
Lãnh thổ mới	新界
xúi giục	恿
lập dị	婬
Con dao cạo	蟶
Wu Hyun	武铉
Khánh Tp.	庆市
Thẩm quyền	职权
Ulva	玼
Thiếu sót	乏
nước miếng	唾液
đội trưởng	船長
nghĩa là	意思是
dưa	瓜
đồng phục	勻
Weiguang	為廣
Hoàng tử	亲王
Sự chiếm đoạt	拨款
mà đã thực hiện	表現
bông	绵
Trên đất liền	陆上
Thêu	繡
ấm áp	溫暖
VI	六世
Huan Wen	桓溫
Ngữ âm	注音
dưa hấu	西瓜
Xuống	下行
Chỉnh lưu	整流器
Đội đã thắng	隊獲
bình	瓮
Snipe	鹲
Danh mục lớn	大類
không quân	空軍
Lịch sử bài hát	宋史
Khoa học	理學
Seki	关市
Zemin	泽民
Thung lũng sông	河谷
bảng điều khiển	面板
Suy sụp	涄
Hải dương	海洋性
Serialization	连载
Oh	奧
Yi	伊
Goth	哥德
bi kịch	悲劇
Connecticut	康乃狄
Viết thư cho	写给
Datong	大同
Thẻ	卡片
S	论
Kiêng cữ	棄權
Chính phủ sạch	廉政
Euonymus	卫矛
chuột	鼷
Say	榽
Bồ nông	鶘
thế giới	天地
Ở đâu	所在
Xianggui	湘桂
bệnh viện	医院
sang trọng	豪華
Cải tiến	改良
Huyền phù	悬挂
Ảnh bìa	幡
đầu tư nước ngoài	外資
Lòng trung thành	忠孝
chủ tịch	总裁
Thân cây	箧
Quận và	區與
Số năm	五号
Ethiopia	埃塞
Hong Zhang	鸿章
Trẻ	楊氏
Primula	报春
Đàn anh	長老
Nước	水
chăn nuôi	牲畜
Thân cây	笥
Danh ca	天後
bạn trai	男朋友
xương	骨頭
Quá trình	流程
Hình ngôi sao	星形
Latin	拉丁語
Đảng dân chủ xã hội	社民党
Tàn tật	瘆
Lào	娆
Sắp	快要
Điểm cộng lớn	大加
Domicile	户籍
Cuộc cách mạng	公转
Buồn phiền	娌
Thời kì đồ đá	石器時代
Dốt	罔
Hum	呔
mạng lưới	淨
Lăng mộ	陵
mạng lưới	联网
tình cờ gặp nhau	邂
biến cố	大事
Philippine	菲律
không may	不幸的是
Quân đội tiền phương	方面軍
Vắt kiệt	濋
Châu á Thái Bình Dương	亞太
Sự chinh phục	征討
khó chịu	鐓
lớn lên	大人
Bướng bỉnh	膸
Cả hai	兩者
chủ nghĩa lãng mạn	浪漫主义
Binh lính và ngựa	兵马
lưỡi liềm	镰
Âm	襱
ổn định	定居
Đầu cơ	投機
Hỗ trợ phổ biến	民心
Làng	村村
Nổi dậy	叛亂
Bệnh trầm cảm	压器
Tuyệt vời	美妙
Ngân hàng phía Nam	南岸
cây sồi	柞
cọc	橛
Mozi	墨子
Han	晗
Shangri	香格里
chim đa đa	鴣
Hoa phượng	腴
thưa thớt	疏
Phụ thuộc	視乎
Bàn luận	議
Vội	黙
Na Uy	挪威
Hồng Kông và Đài Loan	港台
thuốc độc	酖
Xứ Basque	巴斯克
Công việc nhà nước	国务
Giỏi về	擅长
Chất xơ	纤
Hoàng dương	隋炀帝
có nghĩa	手段
chân sau	後肢
Ban cho	授
nguyền rủa	詈
ngầm	潜
khó khăn	困难
Đang theo dõi	是繼
Lohan	罗汉
thiên đường	乐园
Sẽ có	會有
Dạy	授課
cá heo	海豚
Jiao	蛟
một bài kiểm tra	檢查
躏	躪
Cúp châu Á	亚洲杯
Năm màu	五色
Khả năng lưu trữ	库容
Bên ngoài thành phố	城外
Canthus	蜦
Hoover	胡佛
Quốc gia	諸國
Đến chưa	來沒
Sa	薩
kho chứa	車廠
Áo ngực	布拉
Màu trắng ngà	灰白色
Con số	為數
Những người từ	人從
Jiangning	江宁
thứ mười lăm	第十五
Xie	赨
sáng	皎
Hải quân	海軍
tiếp xúc	接觸
xấu	恶劣
Rạp chiếu phim	影院
Xi	夕
Xoắn lại	踡
Xi	乫
Mọi người	民众
Quần đảo Thousand	千島
Xiaofu	晓夫
Ye Liu	葉劉
Astral	星體
Bắc Dakota	北达科他州
lễ hội	節慶
Tái định cư	易地
Người thay thế	替補
bản ballad	民謠
绨	綈
Được bầu lại	連任
Hongkou	虹口
chảy ngược lại	湋
Thị trấn nước	水乡
Xô	捅
khô	熇
ngốc nghếch	儍
Wren	鹩
lễ cưới	婚禮
Shi Huang	始皇
phương tiện	车辆
Vượn	鵷
Li	橦
Giữ	拕
tời gió	轤
quỹ đạo	弹道
Quảng trường	史克威尔
đóng	亲密
giấy phép	许可证
Phối hợp	结合
đồng	銅
Chim săn mồi	鸷
Giường	床位
củ cải	蘿
Bắc Calais	北部加来
Phil	菲爾
Forbes	福布斯
trò đùa	笑話
Trên cánh đồng	场上
Bối cảnh	上下文
nỗi sợ	怵
Từ ngữ	词语
Trò chơi	弈
Viết	写法
tiền lệ	前例
Quy tắc quốc gia	國則
viện bảo tàng	博物院
Con trai thứ hai	次子
hiện nay	如今
Tất cả chúng ta	們都
Yun	篔
thành viên	员
con số	號碼
Suy đoán	推测
Kêu vang	磬
Hướng tây	西进
Chính	少校
quăn	鬈
Của nó và	其與
Quân đội	大軍
Được công nhận	认可
Buttstock	槍托
Thoát ra	廢氣
Gangzhen	岗镇
lừa dối	欺骗
Chad	查德
dây đai	绦
Hoắc	穜
người ăn xin	丐
Hoàng hậu	女皇
chủ nhật	週日
Os	挝
Bản thảo	原稿
Toyo	東約
ách	軛
Taliban	塔利班
Điều này cũng giống như	這與
Đội dự bị	预备队
Ngày hôm đó	那天
Đây là	今屬
Thống đốc	总督
Hệ thống đại diện	代表制
Suy ngẫm	反照
Suy nghĩ đầu tiên	先念
Tấn	誀
Vào	化成
Bộ Giáo dục	教育部
Xuân	蟙
Barto	巴托
Tuyệt vời	精湛
xoang	窦
Mô hình	模特
Huân	奂
Xe điện	軌電車
Ông	先生
Đây	於此
cưỡng bức lao động	繇
Chuyến bay	班机
dọn dẹp	乾淨
Cúp thế giới	世界杯
lợn biển	海牛
tổng sản phẩm	生产总值
Đông cứng	冻
lõm xuống	凹
Báo cáo	报
biến cố	事變
đá	岩石
Trong phạm vi quyền hạn	轄內
halogen	鹵
Nâng cấp lên	升格為
khập khiễng	跚
Mặt hàng nhỏ	小項
Chờ	等為
nhà truyền giáo	传教士
Thể dục thể chất	體能
Broadway	百老汇
Vội vàng	捩
Công ty Cổ phần	股份公司
Hầu hết	居多
Tên	定名
nhiệm vụ tại ngũ	現役
quả bầu	瓠
Chủ nghĩa tu viện	修道
tiểu thuyết gia	小说家
lót	襯
dụng cụ	仪
Ai cập	埃及
Cher	歇爾
cụm	簇
Xuân	禃
Yoro	與羅
Cột	列
Boong	得克
Và trở thành	並成為
Dừng lại ở	止於
Màu là	色為
Jeff	杰夫
Thành công rực rỡ	全壘打
Euphorbia	大戟
địa phương	本地
máng	潋
tưởng tượng	想像
kết quả	結果
Nước đá	氷
nỗi sợ	畏懼
hào phóng	嘅
một	之一
Công việc chung	總務
bàn cờ	棋盤
Truy tố	起诉
Bạn bè	朋
Đóng vai chính trong	出演
Bay lên	飙
nguồn	源
Bok	博克
cạo râu	剃
đồn trú	駐軍
con bò cạp	蝎
Nhận ra	悟
Bing	炳
Trình độ cao	高层
Hệ thống chính trị	政制
máng	瀲
Lượt xem	覽
Acyl	酰
Tua	紱
Máy bay	機飛
Kết hôn	迎娶
Quận	县立
Tiếng ồn	雜訊
bát	碗
Pha bên ngoài	外相
ngân sách	财
Và đặt	並把
Nhà tài trợ	赞助商
Tự lực	自助
nếp nhăn	皱
Dưới núi	山下
Ga Tian	田站
màu xanh lá	青
kết cấu	构造
Về mặt hành chính	行政上
nhấn	按
mứt	藷
Đảng đối lập	反对党
Tiếp theo	繼
Ánh sáng	輕型
thiết bị đầu cuối	終端
Về hưu	退伍
Cả hai đều	均為
đại dương	海洋
xem xét	虑
nôn mửa	嘔
trái	左
Mơ hồ	歧義
hàng hải	海上
Sting	鞫
Kỳ lạ	奇异
cao su	橡膠
Jingwei	精衛
phi thường	非凡
Akihito	明仁
Răng phụ	齒亞
Valencia	巴伦西亚
铓	鋩
loài	树种
thuốc độc	毒死
Tiểu vùng	亞地區
Tung Chung Line	東涌綫
Bộ chính trị	政治局
Cả từ hai phía	两旁
Crodi	克罗地
Cứu trợ	救济
Trong vòng đồng hồ	鐘內
tài chính	财政
Hoang tàn	梈
Nghe rõ	收到
Hoxha	霍查
Quốc gia	國立
ghê tởm	厌恶
sân khấu	阶段
chế tạo	製造
Chiến trường	野战
Chỉ	示
Qi	駰
Sắp	正要
đủ tiêu chuẩn	合格
đánh bại	打败
Đô la Đài Loan mới	新臺幣
Dongguan	东莞
Yun	筫
Công chiếu	首映
đáy biển	海底
Leo núi	登山
Guoxue	國學
Moni	莫妮
Dậm chân	跢
trưng bày	陈列
Ông trùm	大亨
Được coi là	被视为
chất lỏng	液体
chuyển khoản	傳遞
Serrano	鮨
mã	碼
Xiangyang	襄阳
người	煐
hoàn thành	完全
Giải đấu Mỹ	美國聯盟
Không tệ	不错
Macro	宏
Chồn hôi	鼬
lu bu	呂布
Vương miện	冠
Chu	擥
miền Nam	南面
Giải thưởng nhân vật chính	主角奖
đệ tử	門徒
Vợ lẽ	大妃
Vua vua	勤王
Đã sẵn sàng	早已
Yan	帉
Tokyo	东京都
quay số	撥
Yan	釾
cây kéo	剪刀
dần dần	逐渐
Huairen	怀仁
Nếp	饆
dây	緡
căn cứ	基
Bok	簕
hợp nhất	合并
bữa ăn	膳
đường phố	陌
Shi	士
Tần Hán	秦汉
